,Genome,Order,Family,Genus,VC,VC Status,Size,VC Subcluster,VC Subcluster Size,Quality,Adj P-value,Topology Confidence Score,Genera in VC,Families in VC,Orders in VC,Genus Confidence Score
427,BK061586,Unassigned,Unassigned,Unassigned,200_0,Clustered,24,VC_200_0,24,0.7079,1.0,0.7079,0,0,0,1.0
428,BK061587,Unassigned,Unassigned,Unassigned,727_0,Clustered,24,VC_727_0,24,0.7528,1.0,0.7528,0,0,0,1.0
429,BK061588,Unassigned,Unassigned,Unassigned,191_1,Clustered,5,VC_191_1,5,0.1346,0.99999941,0.1346,0,0,0,0.8
430,BK061589,Unassigned,Unassigned,Unassigned,311_0,Clustered,3,VC_311_0,3,0.1472,0.99686721,0.1467,0,0,0,1.0
431,BK061590,Unassigned,Unassigned,Unassigned,191_1,Clustered,5,VC_191_1,5,0.1346,0.99999941,0.1346,0,0,0,0.8
432,BK061591,Unassigned,Unassigned,Unassigned,672_0,Clustered,22,VC_672_0,22,0.8297,1.0,0.8297,0,0,0,1.0
433,C2PVCG,Unassigned,Unassigned,Unassigned,733_0,Clustered,50,VC_733_0,50,0.9564,1.0,0.9564,0,0,0,1.0
434,CAJCJZ010000002,Unassigned,Unassigned,Unassigned,734_1,Clustered,5,VC_734_1,5,0.385,0.99999987,0.385,0,0,0,1.0
435,CAJDJX010000002,Unassigned,Unassigned,Unassigned,737_0,Clustered,52,VC_737_0,52,0.807,1.0,0.807,0,0,0,1.0
436,CAJDJY010000002,Unassigned,Unassigned,Unassigned,99_0,Clustered,24,VC_99_0,24,0.5987,1.0,0.5987,0,0,0,1.0
437,CAJDJZ010000002,Unassigned,Unassigned,Unassigned,99_0,Clustered,24,VC_99_0,24,0.5987,1.0,0.5987,0,0,0,1.0
438,CAJDKA010000002,Unassigned,Unassigned,Unassigned,100_0,Clustered,22,VC_100_0,22,0.6002,1.0,0.6002,0,0,0,1.0
439,CAJDKF010000002,Unassigned,Unassigned,Unassigned,737_0,Clustered,52,VC_737_0,52,0.807,1.0,0.807,0,0,0,1.0
440,CAKLQA020000001,Unassigned,Unassigned,Unassigned,740_1,Clustered,21,VC_740_1,21,0.6995,1.0,0.6995,0,0,0,0.6905
441,CAKLQA020000002,Unassigned,Unassigned,Unassigned,712_0,Clustered,2,VC_712_0,2,0.6719,0.33333333,0.224,0,0,0,1.0
442,CAKLQA020000003,Unassigned,Unassigned,Unassigned,663_0,Clustered,3,VC_663_0,3,0.3296,0.99568218,0.3282,0,0,0,1.0
443,CAKLQB020000001,Unassigned,Unassigned,Unassigned,745_0,Clustered,77,VC_745_0,77,0.9417,1.0,0.9417,0,0,0,1.0
444,CAKLQC020000001,Unassigned,Unassigned,Unassigned,747_1,Clustered,22,VC_747_1,22,0.4424,1.0,0.4424,0,0,0,1.0
445,CAKLQD020000001,Unassigned,Unassigned,Unassigned,747_1,Clustered,22,VC_747_1,22,0.4424,1.0,0.4424,0,0,0,1.0
446,CAKLQE020000001,Unassigned,Unassigned,Unassigned,744_1,Clustered,2,VC_744_1,2,0.1094,0.90286685,0.0988,0,0,0,1.0
447,CAKLQF020000022,Unassigned,Unassigned,Unassigned,740_2,Clustered/Singleton,1,VC_740_2,1,0.0,0.0,0.0,0,0,0,1.0
448,CAKLQF020000023,Unassigned,Unassigned,Unassigned,756_0,Clustered,2,VC_756_0,2,1.0,0.0,0.0,0,0,0,1.0
449,CAKLQF020000027,Unassigned,Unassigned,Unassigned,740_1,Clustered,21,VC_740_1,21,0.6995,1.0,0.6995,0,0,0,0.6905
450,CAKLQF020000037,Unassigned,Unassigned,Unassigned,757_0,Clustered,2,VC_757_0,2,1.0,0.0,0.0,0,0,0,1.0
451,CAKLQG020000001,Unassigned,Unassigned,Unassigned,745_0,Clustered,77,VC_745_0,77,0.9417,1.0,0.9417,0,0,0,1.0
452,CAKLQH020000015,Unassigned,Unassigned,Unassigned,744_1,Clustered,2,VC_744_1,2,0.1094,0.90286685,0.0988,0,0,0,1.0
453,CAKLQH020000019,Unassigned,Unassigned,Unassigned,756_0,Clustered,2,VC_756_0,2,1.0,0.0,0.0,0,0,0,1.0
454,CAKLQH020000047,Unassigned,Unassigned,Unassigned,663_0,Clustered,3,VC_663_0,3,0.3296,0.99568218,0.3282,0,0,0,1.0
455,CAKLQH020000049,Unassigned,Unassigned,Unassigned,337_0,Clustered,2,VC_337_0,2,0.0226,0.36346538,0.0082,0,0,0,1.0
456,CAKLQH020000051,Unassigned,Unassigned,Unassigned,757_0,Clustered,2,VC_757_0,2,1.0,0.0,0.0,0,0,0,1.0
457,CAKLQH020000053,Unassigned,Unassigned,Unassigned,741_0,Clustered,2,VC_741_0,2,0.0354,0.85439957,0.0303,0,0,0,1.0
458,CAKLQH020000060,Unassigned,Unassigned,Unassigned,741_0,Clustered,2,VC_741_0,2,0.0354,0.85439957,0.0303,0,0,0,1.0
459,CP000622,Unassigned,Unassigned,Unassigned,266_0,Clustered,4,VC_266_0,4,0.259,0.99996425,0.2589,0,0,0,1.0
460,CP000623,Unassigned,Unassigned,Unassigned,3_0,Clustered,17,VC_3_0,17,0.5812,1.0,0.5812,0,0,0,1.0
461,CP000624,Unassigned,Unassigned,Unassigned,3_0,Clustered,17,VC_3_0,17,0.5812,1.0,0.5812,0,0,0,1.0
462,CP000625,Unassigned,Unassigned,Unassigned,381_0,Clustered,6,VC_381_0,6,0.5436,1.0,0.5436,0,0,0,1.0
463,CP000711,Unassigned,Unassigned,Unassigned,32_0,Clustered,15,VC_32_0,15,0.1864,1.0,0.1864,0,0,0,0.819
464,CP000917,Unassigned,Unassigned,Unassigned,207_39,Clustered,3,VC_207_39,3,0.0102,0.97810009,0.01,0,0,0,1.0
465,CP002495,Unassigned,Unassigned,Unassigned,760_0,Clustered,12,VC_760_0,12,1.0,0.0,0.0,0,0,0,1.0
466,CP002889,Unassigned,Unassigned,Unassigned,268_0,Clustered,122,VC_268_0,122,0.7466,1.0,0.7466,0,0,0,0.9984
467,CP004084,Unassigned,Unassigned,Unassigned,317_0,Clustered,155,VC_317_0,155,0.9979,1.0,0.9979,0,0,0,1.0
468,CP008753,Unassigned,Unassigned,Unassigned,3_0,Clustered,17,VC_3_0,17,0.5812,1.0,0.5812,0,0,0,1.0
469,CP011970,Unassigned,Unassigned,Unassigned,213_2,Clustered,2,VC_213_2,2,0.1016,0.89204457,0.0906,0,0,0,1.0
470,CP013282,Unassigned,Unassigned,Unassigned,447_0,Clustered,7,VC_447_0,7,0.9041,0.9996286,0.9038,0,0,0,1.0
471,CP013974,Unassigned,Unassigned,Unassigned,448_1,Clustered,3,VC_448_1,3,0.1093,0.99618415,0.1089,0,0,0,1.0
472,CP017837,Unassigned,Unassigned,Unassigned,263_0,Clustered,3,VC_263_0,3,0.1334,0.96261979,0.1284,0,0,0,1.0
473,CP017905,Unassigned,Unassigned,Unassigned,15_0,Clustered,12,VC_15_0,12,0.6275,1.0,0.6275,0,0,0,1.0
474,CP017906,Unassigned,Unassigned,Unassigned,15_0,Clustered,12,VC_15_0,12,0.6275,1.0,0.6275,0,0,0,1.0
475,CP025887,Unassigned,Unassigned,Unassigned,769_0,Clustered,2,VC_769_0,2,0.1211,0.33333333,0.0404,0,0,0,1.0
476,CP025900,Unassigned,Unassigned,Unassigned,6_0,Clustered,44,VC_6_0,44,0.9257,1.0,0.9257,0,0,0,1.0
477,CP027117,Unassigned,Unassigned,Unassigned,770_1,Clustered/Singleton,1,VC_770_1,1,0.0,0.0,0.0,0,0,0,1.0
478,CP038007,Unassigned,Unassigned,Unassigned,61_0,Clustered,5,VC_61_0,5,0.5622,0.99999973,0.5622,0,0,0,1.0
479,CP045566,Unassigned,Unassigned,Unassigned,771_0,Clustered,9,VC_771_0,9,1.0,0.0,0.0,0,0,0,1.0
480,CP050061,Unassigned,Unassigned,Unassigned,271_0,Clustered,41,VC_271_0,41,0.5506,1.0,0.5506,0,0,0,1.0
481,CP051272,Unassigned,Unassigned,Unassigned,30_1,Clustered,48,VC_30_1,48,0.6087,1.0,0.6087,0,0,0,0.9273
482,CP051278,Unassigned,Unassigned,Unassigned,30_1,Clustered,48,VC_30_1,48,0.6087,1.0,0.6087,0,0,0,0.9273
483,CP051279,Unassigned,Unassigned,Unassigned,30_1,Clustered,48,VC_30_1,48,0.6087,1.0,0.6087,0,0,0,0.9273
484,CP051285,Unassigned,Unassigned,Unassigned,30_1,Clustered,48,VC_30_1,48,0.6087,1.0,0.6087,0,0,0,0.9273
485,CP051288,Unassigned,Unassigned,Unassigned,30_1,Clustered,48,VC_30_1,48,0.6087,1.0,0.6087,0,0,0,0.9273
486,CP053388,Unassigned,Unassigned,Unassigned,774_0,Clustered,9,VC_774_0,9,0.6951,1.0,0.6951,0,0,0,1.0
487,CP054387,Unassigned,Unassigned,Unassigned,774_0,Clustered,9,VC_774_0,9,0.6951,1.0,0.6951,0,0,0,1.0
488,CP058330,Unassigned,Unassigned,Unassigned,774_0,Clustered,9,VC_774_0,9,0.6951,1.0,0.6951,0,0,0,1.0
489,CP059058,Unassigned,Unassigned,Unassigned,641_0,Clustered,15,VC_641_0,15,0.5825,1.0,0.5825,0,0,0,1.0
490,CP060690,Unassigned,Unassigned,Unassigned,781_0,Clustered,10,VC_781_0,10,1.0,0.0,0.0,0,0,0,1.0
491,CP062422,Unassigned,Unassigned,Unassigned,11_1,Clustered,24,VC_11_1,24,0.2714,1.0,0.2714,0,0,0,0.9384
492,CP062426,Unassigned,Unassigned,Unassigned,7_0,Clustered,29,VC_7_0,29,0.3942,1.0,0.3942,0,0,0,0.9951
493,CP062427,Unassigned,Unassigned,Unassigned,9_0,Clustered,39,VC_9_0,39,0.4935,1.0,0.4935,0,0,0,1.0
494,CP062430,Unassigned,Unassigned,Unassigned,10_0,Clustered,25,VC_10_0,25,0.3405,1.0,0.3405,0,0,0,0.97
495,CP062434,Unassigned,Unassigned,Unassigned,8_0,Clustered,69,VC_8_0,69,0.8286,1.0,0.8286,0,0,0,0.9275
496,CP062435,Unassigned,Unassigned,Unassigned,7_0,Clustered,29,VC_7_0,29,0.3942,1.0,0.3942,0,0,0,0.9951
497,CP062436,Unassigned,Unassigned,Unassigned,10_0,Clustered,25,VC_10_0,25,0.3405,1.0,0.3405,0,0,0,0.97
498,CP062442,Unassigned,Unassigned,Unassigned,8_0,Clustered,69,VC_8_0,69,0.8286,1.0,0.8286,0,0,0,0.9275
499,CP062444,Unassigned,Unassigned,Unassigned,8_0,Clustered,69,VC_8_0,69,0.8286,1.0,0.8286,0,0,0,0.9275
500,CP062445,Unassigned,Unassigned,Unassigned,7_0,Clustered,29,VC_7_0,29,0.3942,1.0,0.3942,0,0,0,0.9951
501,CP062447,Unassigned,Unassigned,Unassigned,10_0,Clustered,25,VC_10_0,25,0.3405,1.0,0.3405,0,0,0,0.97
502,CP062451,Unassigned,Unassigned,Unassigned,9_0,Clustered,39,VC_9_0,39,0.4935,1.0,0.4935,0,0,0,1.0
503,CP062454,Unassigned,Unassigned,Unassigned,9_0,Clustered,39,VC_9_0,39,0.4935,1.0,0.4935,0,0,0,1.0
504,CP062457,Unassigned,Unassigned,Unassigned,7_0,Clustered,29,VC_7_0,29,0.3942,1.0,0.3942,0,0,0,0.9951
505,CP062461,Unassigned,Unassigned,Unassigned,8_0,Clustered,69,VC_8_0,69,0.8286,1.0,0.8286,0,0,0,0.9275
506,CP062462,Unassigned,Unassigned,Unassigned,11_1,Clustered,24,VC_11_1,24,0.2714,1.0,0.2714,0,0,0,0.9384
507,CP062992,Unassigned,Unassigned,Unassigned,523_0,Clustered,40,VC_523_0,40,0.5677,1.0,0.5677,0,0,0,0.9885
508,CP067347,Unassigned,Unassigned,Unassigned,213_4,Clustered/Singleton,1,VC_213_4,1,0.0,0.0,0.0,0,0,0,1.0
509,CP067352,Unassigned,Unassigned,Unassigned,213_0,Clustered/Singleton,1,VC_213_0,1,0.0,0.0,0.0,0,0,0,1.0
510,CP069347,Unassigned,Unassigned,Unassigned,695_0,Clustered,11,VC_695_0,11,0.6009,1.0,0.6009,0,0,0,1.0
511,CP069348,Unassigned,Unassigned,Unassigned,213_1,Clustered/Singleton,1,VC_213_1,1,0.0,0.0,0.0,0,0,0,1.0
512,CP071049,Unassigned,Unassigned,Unassigned,11_1,Clustered,24,VC_11_1,24,0.2714,1.0,0.2714,0,0,0,0.9384
513,CP072507,Unassigned,Unassigned,Unassigned,61_0,Clustered,5,VC_61_0,5,0.5622,0.99999973,0.5622,0,0,0,1.0
514,CP091911,Unassigned,Unassigned,Unassigned,760_0,Clustered,12,VC_760_0,12,1.0,0.0,0.0,0,0,0,1.0
515,CP101890,Unassigned,Unassigned,Unassigned,774_0,Clustered,9,VC_774_0,9,0.6951,1.0,0.6951,0,0,0,1.0
516,CP101896,Unassigned,Unassigned,Unassigned,774_0,Clustered,9,VC_774_0,9,0.6951,1.0,0.6951,0,0,0,1.0
517,CP103806,Unassigned,Unassigned,Unassigned,785_0,Clustered,7,VC_785_0,7,0.605,1.0,0.605,0,0,0,1.0
518,CP103976,Unassigned,Unassigned,Unassigned,441_0,Clustered,2,VC_441_0,2,0.11,0.90877493,0.1,0,0,0,1.0
519,CP115737,Unassigned,Unassigned,Unassigned,255_0,Clustered,22,VC_255_0,22,0.6118,1.0,0.6118,0,0,0,0.7965
520,CP124119,Unassigned,Unassigned,Unassigned,781_0,Clustered,10,VC_781_0,10,1.0,0.0,0.0,0,0,0,1.0
521,CP124930,Unassigned,Unassigned,Unassigned,760_0,Clustered,12,VC_760_0,12,1.0,0.0,0.0,0,0,0,1.0
522,CP124934,Unassigned,Unassigned,Unassigned,760_0,Clustered,12,VC_760_0,12,1.0,0.0,0.0,0,0,0,1.0
523,CP124938,Unassigned,Unassigned,Unassigned,760_0,Clustered,12,VC_760_0,12,1.0,0.0,0.0,0,0,0,1.0
524,CP124941,Unassigned,Unassigned,Unassigned,760_0,Clustered,12,VC_760_0,12,1.0,0.0,0.0,0,0,0,1.0
525,CP124942,Unassigned,Unassigned,Unassigned,760_0,Clustered,12,VC_760_0,12,1.0,0.0,0.0,0,0,0,1.0
526,CP124949,Unassigned,Unassigned,Unassigned,760_0,Clustered,12,VC_760_0,12,1.0,0.0,0.0,0,0,0,1.0
527,CP124952,Unassigned,Unassigned,Unassigned,760_0,Clustered,12,VC_760_0,12,1.0,0.0,0.0,0,0,0,1.0
528,CP124955,Unassigned,Unassigned,Unassigned,760_0,Clustered,12,VC_760_0,12,1.0,0.0,0.0,0,0,0,1.0
529,CP124959,Unassigned,Unassigned,Unassigned,760_0,Clustered,12,VC_760_0,12,1.0,0.0,0.0,0,0,0,1.0
530,CP124962,Unassigned,Unassigned,Unassigned,760_0,Clustered,12,VC_760_0,12,1.0,0.0,0.0,0,0,0,1.0
531,Crump_k141_191974,Unassigned,Unassigned,Unassigned,792_0,Clustered,3,VC_792_0,3,0.4569,0.99793602,0.456,0,0,0,1.0
532,Cucio_k119_105986,Unassigned,Unassigned,Unassigned,793_0,Clustered,3,VC_793_0,3,1.0,0.0,0.0,0,0,0,1.0
533,Cucio_k119_23695,Unassigned,Unassigned,Unassigned,544_0,Clustered,4,VC_544_0,4,0.3955,0.99786451,0.3947,0,0,0,1.0
534,Cucio_k119_325786,Unassigned,Unassigned,Unassigned,795_0,Clustered,2,VC_795_0,2,1.0,0.0,0.0,0,0,0,1.0
535,Cucio_k119_457602,Unassigned,Unassigned,Unassigned,796_0,Clustered,7,VC_796_0,7,0.2748,1.0,0.2748,0,0,0,1.0
536,Cucio_k119_47432,Unassigned,Unassigned,Unassigned,798_0,Clustered,2,VC_798_0,2,1.0,0.0,0.0,0,0,0,1.0
537,Cucio_k119_495600,Unassigned,Unassigned,Unassigned,799_0,Clustered,4,VC_799_0,4,0.7802,0.9,0.7022,0,0,0,1.0
538,Cucio_k119_519156,Unassigned,Unassigned,Unassigned,801_0,Clustered,6,VC_801_0,6,0.2169,0.99674365,0.2162,0,0,0,1.0
539,Cucio_k119_522451,Unassigned,Unassigned,Unassigned,794_0,Clustered,18,VC_794_0,18,0.6586,1.0,0.6586,0,0,0,1.0
540,Cucio_k119_543798,Unassigned,Unassigned,Unassigned,546_0,Clustered,2,VC_546_0,2,0.2994,0.81818182,0.245,0,0,0,1.0
541,Cucio_k119_65072,Unassigned,Unassigned,Unassigned,545_0,Clustered,2,VC_545_0,2,0.548,0.5,0.274,0,0,0,1.0
542,Cucio_k119_666292,Unassigned,Unassigned,Unassigned,547_0,Clustered,2,VC_547_0,2,0.233,0.86666667,0.202,0,0,0,1.0
543,Cucio_k119_97593,Unassigned,Unassigned,Unassigned,807_0,Clustered,9,VC_807_0,9,0.9758,0.87554183,0.8543,0,0,0,1.0
544,D89074,Unassigned,Unassigned,Unassigned,15_0,Clustered,12,VC_15_0,12,0.6275,1.0,0.6275,0,0,0,1.0
545,DQ003260,Unassigned,Unassigned,Unassigned,30_1,Clustered,48,VC_30_1,48,0.6087,1.0,0.6087,0,0,0,0.9273
546,DQ003637,Unassigned,Unassigned,Unassigned,403_0,Clustered,10,VC_403_0,10,0.7608,1.0,0.7608,0,0,0,1.0
547,DQ003638,Unassigned,Unassigned,Unassigned,808_0,Clustered,26,VC_808_0,26,0.9568,1.0,0.9568,0,0,0,1.0
548,DQ003639,Unassigned,Unassigned,Unassigned,404_0,Clustered,6,VC_404_0,6,0.4968,1.0,0.4968,0,0,0,0.8
549,DQ003640,Unassigned,Unassigned,Unassigned,151_0,Clustered,2,VC_151_0,2,0.4214,0.89937228,0.379,0,0,0,1.0
550,DQ003641,Unassigned,Unassigned,Unassigned,811_0,Clustered,3,VC_811_0,3,0.2008,0.99619937,0.2,0,0,0,1.0
551,DQ003642,Unassigned,Unassigned,Unassigned,405_0,Clustered,3,VC_405_0,3,0.141,0.99864323,0.1408,0,0,0,1.0
552,DQ004855,Unassigned,Unassigned,Unassigned,808_0,Clustered,26,VC_808_0,26,0.9568,1.0,0.9568,0,0,0,1.0
553,DQ029335,Unassigned,Unassigned,Unassigned,88_0,Clustered,24,VC_88_0,24,0.7751,1.0,0.7751,0,0,0,1.0
554,DQ054536,Unassigned,Unassigned,Unassigned,220_0,Clustered,102,VC_220_0,102,0.406,1.0,0.406,0,0,0,0.787
555,DQ079870,Unassigned,Unassigned,Unassigned,815_0,Clustered,15,VC_815_0,15,1.0,0.0,0.0,0,0,0,1.0
556,DQ079871,Unassigned,Unassigned,Unassigned,815_0,Clustered,15,VC_815_0,15,1.0,0.0,0.0,0,0,0,1.0
557,DQ079872,Unassigned,Unassigned,Unassigned,815_0,Clustered,15,VC_815_0,15,1.0,0.0,0.0,0,0,0,1.0
558,DQ079873,Unassigned,Unassigned,Unassigned,815_0,Clustered,15,VC_815_0,15,1.0,0.0,0.0,0,0,0,1.0
559,DQ079874,Unassigned,Unassigned,Unassigned,815_0,Clustered,15,VC_815_0,15,1.0,0.0,0.0,0,0,0,1.0
560,DQ079875,Unassigned,Unassigned,Unassigned,815_0,Clustered,15,VC_815_0,15,1.0,0.0,0.0,0,0,0,1.0
561,DQ079876,Unassigned,Unassigned,Unassigned,815_0,Clustered,15,VC_815_0,15,1.0,0.0,0.0,0,0,0,1.0
562,DQ079878,Unassigned,Unassigned,Unassigned,815_0,Clustered,15,VC_815_0,15,1.0,0.0,0.0,0,0,0,1.0
563,DQ079879,Unassigned,Unassigned,Unassigned,815_0,Clustered,15,VC_815_0,15,1.0,0.0,0.0,0,0,0,1.0
564,DQ079880,Unassigned,Unassigned,Unassigned,317_0,Clustered,155,VC_317_0,155,0.9979,1.0,0.9979,0,0,0,1.0
565,DQ079881,Unassigned,Unassigned,Unassigned,317_0,Clustered,155,VC_317_0,155,0.9979,1.0,0.9979,0,0,0,1.0
566,DQ079882,Unassigned,Unassigned,Unassigned,317_0,Clustered,155,VC_317_0,155,0.9979,1.0,0.9979,0,0,0,1.0
567,DQ079883,Unassigned,Unassigned,Unassigned,317_0,Clustered,155,VC_317_0,155,0.9979,1.0,0.9979,0,0,0,1.0
568,DQ079884,Unassigned,Unassigned,Unassigned,317_0,Clustered,155,VC_317_0,155,0.9979,1.0,0.9979,0,0,0,1.0
569,DQ079885,Unassigned,Unassigned,Unassigned,317_0,Clustered,155,VC_317_0,155,0.9979,1.0,0.9979,0,0,0,1.0
570,DQ079886,Unassigned,Unassigned,Unassigned,317_0,Clustered,155,VC_317_0,155,0.9979,1.0,0.9979,0,0,0,1.0
571,DQ079887,Unassigned,Unassigned,Unassigned,317_0,Clustered,155,VC_317_0,155,0.9979,1.0,0.9979,0,0,0,1.0
572,DQ079888,Unassigned,Unassigned,Unassigned,317_0,Clustered,155,VC_317_0,155,0.9979,1.0,0.9979,0,0,0,1.0
573,DQ079889,Unassigned,Unassigned,Unassigned,317_0,Clustered,155,VC_317_0,155,0.9979,1.0,0.9979,0,0,0,1.0
574,DQ079890,Unassigned,Unassigned,Unassigned,317_0,Clustered,155,VC_317_0,155,0.9979,1.0,0.9979,0,0,0,1.0
575,DQ079891,Unassigned,Unassigned,Unassigned,317_0,Clustered,155,VC_317_0,155,0.9979,1.0,0.9979,0,0,0,1.0
576,DQ079892,Unassigned,Unassigned,Unassigned,317_0,Clustered,155,VC_317_0,155,0.9979,1.0,0.9979,0,0,0,1.0
577,DQ079893,Unassigned,Unassigned,Unassigned,317_0,Clustered,155,VC_317_0,155,0.9979,1.0,0.9979,0,0,0,1.0
578,DQ079894,Unassigned,Unassigned,Unassigned,317_0,Clustered,155,VC_317_0,155,0.9979,1.0,0.9979,0,0,0,1.0
579,DQ079895,Unassigned,Unassigned,Unassigned,317_0,Clustered,155,VC_317_0,155,0.9979,1.0,0.9979,0,0,0,1.0
580,DQ079896,Unassigned,Unassigned,Unassigned,387_0,Clustered,358,VC_387_0,358,0.9616,1.0,0.9616,0,0,0,1.0
581,DQ079897,Unassigned,Unassigned,Unassigned,387_0,Clustered,358,VC_387_0,358,0.9616,1.0,0.9616,0,0,0,1.0
582,DQ079899,Unassigned,Unassigned,Unassigned,387_0,Clustered,358,VC_387_0,358,0.9616,1.0,0.9616,0,0,0,1.0
583,DQ079900,Unassigned,Unassigned,Unassigned,387_0,Clustered,358,VC_387_0,358,0.9616,1.0,0.9616,0,0,0,1.0
584,DQ079901,Unassigned,Unassigned,Unassigned,387_0,Clustered,358,VC_387_0,358,0.9616,1.0,0.9616,0,0,0,1.0
585,DQ079902,Unassigned,Unassigned,Unassigned,387_0,Clustered,358,VC_387_0,358,0.9616,1.0,0.9616,0,0,0,1.0
586,DQ079903,Unassigned,Unassigned,Unassigned,387_0,Clustered,358,VC_387_0,358,0.9616,1.0,0.9616,0,0,0,1.0
587,DQ079904,Unassigned,Unassigned,Unassigned,387_0,Clustered,358,VC_387_0,358,0.9616,1.0,0.9616,0,0,0,1.0
588,DQ079906,Unassigned,Unassigned,Unassigned,387_0,Clustered,358,VC_387_0,358,0.9616,1.0,0.9616,0,0,0,1.0
589,DQ079908,Unassigned,Unassigned,Unassigned,387_0,Clustered,358,VC_387_0,358,0.9616,1.0,0.9616,0,0,0,1.0
590,DQ079909,Unassigned,Unassigned,Unassigned,387_0,Clustered,358,VC_387_0,358,0.9616,1.0,0.9616,0,0,0,1.0
591,DQ085810,Unassigned,Unassigned,Unassigned,815_0,Clustered,15,VC_815_0,15,1.0,0.0,0.0,0,0,0,1.0
592,DQ087285,Unassigned,Unassigned,Unassigned,3_0,Clustered,17,VC_3_0,17,0.5812,1.0,0.5812,0,0,0,1.0
593,DQ111067,Unassigned,Unassigned,Unassigned,476_0,Clustered,113,VC_476_0,113,0.982,1.0,0.982,0,0,0,1.0
594,DQ113772,Unassigned,Unassigned,Unassigned,436_0,Clustered,39,VC_436_0,39,0.8434,1.0,0.8434,0,0,0,1.0
595,DQ114220,Unassigned,Unassigned,Unassigned,5_0,Clustered,28,VC_5_0,28,0.9091,1.0,0.9091,0,0,0,1.0
596,DQ121662,Unassigned,Unassigned,Unassigned,481_0,Clustered,19,VC_481_0,19,0.5425,1.0,0.5425,0,0,0,1.0
597,DQ123818,Unassigned,Unassigned,Unassigned,816_0,Clustered,9,VC_816_0,9,0.5439,1.0,0.5439,0,0,0,1.0
598,DQ126339,Unassigned,Unassigned,Unassigned,576_0,Clustered,20,VC_576_0,20,0.7975,1.0,0.7975,0,0,0,1.0
599,DQ149023,Unassigned,Unassigned,Unassigned,455_0,Clustered,2,VC_455_0,2,0.0085,0.91550196,0.0077,0,0,0,1.0
600,DQ150593,Unassigned,Unassigned,Unassigned,590_0,Clustered,16,VC_590_0,16,0.724,1.0,0.724,0,0,0,1.0
601,DQ163912,Unassigned,Unassigned,Unassigned,727_0,Clustered,24,VC_727_0,24,0.7528,1.0,0.7528,0,0,0,1.0
602,DQ163913,Unassigned,Unassigned,Unassigned,819_0,Clustered,48,VC_819_0,48,0.7563,1.0,0.7563,0,0,0,1.0
603,DQ163914,Unassigned,Unassigned,Unassigned,661_0,Clustered,10,VC_661_0,10,0.914,1.0,0.914,0,0,0,1.0
604,DQ163915,Unassigned,Unassigned,Unassigned,825_0,Clustered,9,VC_825_0,9,0.4317,1.0,0.4317,0,0,0,1.0
605,DQ163916,Unassigned,Unassigned,Unassigned,178_0,Clustered,26,VC_178_0,26,0.744,1.0,0.744,0,0,0,1.0
606,DQ163917,Unassigned,Unassigned,Unassigned,84_0,Clustered,42,VC_84_0,42,0.5703,1.0,0.5703,0,0,0,0.9779
607,DQ222851,Unassigned,Unassigned,Unassigned,590_0,Clustered,16,VC_590_0,16,0.724,1.0,0.724,0,0,0,1.0
608,DQ222853,Unassigned,Unassigned,Unassigned,590_0,Clustered,16,VC_590_0,16,0.724,1.0,0.724,0,0,0,1.0
609,DQ222855,Unassigned,Unassigned,Unassigned,590_0,Clustered,16,VC_590_0,16,0.724,1.0,0.724,0,0,0,1.0
610,DQ227763,Unassigned,Unassigned,Unassigned,220_0,Clustered,102,VC_220_0,102,0.406,1.0,0.406,0,0,0,0.787
611,DQ227764,Unassigned,Unassigned,Unassigned,220_0,Clustered,102,VC_220_0,102,0.406,1.0,0.406,0,0,0,0.787
612,DQ289555,Unassigned,Unassigned,Unassigned,590_0,Clustered,16,VC_590_0,16,0.724,1.0,0.724,0,0,0,1.0
613,DQ289556,Unassigned,Unassigned,Unassigned,590_0,Clustered,16,VC_590_0,16,0.724,1.0,0.724,0,0,0,1.0
614,DQ320509,Unassigned,Unassigned,Unassigned,326_0,Clustered,10,VC_326_0,10,0.7647,1.0,0.7647,0,0,0,1.0
615,DQ340064,Unassigned,Unassigned,Unassigned,149_0,Clustered,2,VC_149_0,2,0.2146,0.90860162,0.1949,0,0,0,1.0
616,DQ372923,Unassigned,Unassigned,Unassigned,635_0,Clustered,2,VC_635_0,2,0.6579,0.6,0.3947,0,0,0,1.0
617,DQ386162,Unassigned,Unassigned,Unassigned,489_0,Clustered,4,VC_489_0,4,0.7824,0.99994584,0.7824,0,0,0,1.0
618,DQ394806,Unassigned,Unassigned,Unassigned,271_0,Clustered,41,VC_271_0,41,0.5506,1.0,0.5506,0,0,0,1.0
619,DQ394807,Unassigned,Unassigned,Unassigned,280_0,Clustered,12,VC_280_0,12,0.4251,1.0,0.4251,0,0,0,1.0
620,DQ394808,Unassigned,Unassigned,Unassigned,280_0,Clustered,12,VC_280_0,12,0.4251,1.0,0.4251,0,0,0,1.0
621,DQ394809,Unassigned,Unassigned,Unassigned,280_0,Clustered,12,VC_280_0,12,0.4251,1.0,0.4251,0,0,0,1.0
622,DQ394810,Unassigned,Unassigned,Unassigned,280_0,Clustered,12,VC_280_0,12,0.4251,1.0,0.4251,0,0,0,1.0
623,DQ398041,Unassigned,Unassigned,Unassigned,602_7,Clustered,28,VC_602_7,28,0.164,1.0,0.164,0,0,0,0.8439
