Genome,VC.Status,Realm,Kingdom,Phylum,Class,Order,Family,VC
Rubio_Protillo_k141_908979,Clustered,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,1130_0
Rubio_Protillo_k141_918602,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1016_0
Schorn_k141_1059824,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1895_0
Schorn_k141_10703592,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1896_0
Schorn_k141_10735901,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1067_0
Schorn_k141_12385194,Clustered,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,1151_0
Schorn_k141_12676774,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1900_0
Schorn_k141_12882802,Clustered,Monodnaviria,Loebvirae,Hofneiviricota,Faserviricetes,Tubulavirales,Inoviridae,1901_0
Schorn_k141_12926758,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1902_0
Schorn_k141_13052507,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1903_0
Schorn_k141_13113388,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1081_0
Schorn_k141_13523794,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1905_0
Schorn_k141_13590047,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1906_0
Schorn_k141_14053712,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1511_0
Schorn_k141_14060255,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1907_0
Schorn_k141_14162914,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1817_0
Schorn_k141_14407985,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1871_0
Schorn_k141_144080,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,690_0
Schorn_k141_14443167,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1790_0
Schorn_k141_14535348,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1814_0
Schorn_k141_14778714,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1908_0
Schorn_k141_15100635,Clustered,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,1881_0
Schorn_k141_15477708,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1895_0
Schorn_k141_15479828,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1909_0
Schorn_k141_15531234,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1134_0
Schorn_k141_15622619,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1908_0
Schorn_k141_15664706,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Straboviridae,Unclassified,1793_0
Schorn_k141_15954387,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,801_0
Schorn_k141_15954422,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1747_0
Schorn_k141_16822522,Clustered,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,1912_0
Schorn_k141_17030857,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,716_0
Schorn_k141_17038397,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1913_0
Schorn_k141_17151422,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1914_0
Schorn_k141_17297169,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Straboviridae,Unclassified,1915_0
Schorn_k141_17455949,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1897_0
Schorn_k141_17668976,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1917_0
Schorn_k141_1798312,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1918_0
Schorn_k141_18086219,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1909_0
Schorn_k141_1815457,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1167_0
Schorn_k141_18275936,Clustered/Singleton,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Zobellviridae,Unclassified,322_0
Schorn_k141_18350254,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Kyanoviridae,Unclassified,1802_0
Schorn_k141_18372877,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1753_0
Schorn_k141_18433141,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,360_0
Schorn_k141_19175629,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1912_0
Schorn_k141_19530300,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,690_0
Schorn_k141_19931202,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1919_0
Schorn_k141_20099501,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,831_0
Schorn_k141_20176532,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Autographiviridae,Unclassified,1283_0
Schorn_k141_20287027,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1920_0
Schorn_k141_20509850,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1918_0
Schorn_k141_20592460,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1921_0
Schorn_k141_20773986,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1922_0
Schorn_k141_20835720,Clustered,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Algavirales,Phycodnaviridae,1916_0
Schorn_k141_20918170,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,831_0
Schorn_k141_2093579,Clustered,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,1810_0
Schorn_k141_2111549,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1921_0
Schorn_k141_21311363,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1920_0
Schorn_k141_21472209,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,547_0
Schorn_k141_21525031,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1924_0
Schorn_k141_21942776,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,587_0
Schorn_k141_22167387,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1904_0
Schorn_k141_22346805,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,784_0
Schorn_k141_22369139,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1925_0
Schorn_k141_22818319,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1926_0
Schorn_k141_2294211,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1512_0
Schorn_k141_22982002,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1815_0
Schorn_k141_23379099,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,912_0
Schorn_k141_23460567,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1927_0
Schorn_k141_23647400,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1783_0
Schorn_k141_24137454,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1925_0
Schorn_k141_24426762,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1924_0
Schorn_k141_24481601,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1928_0
Schorn_k141_24493227,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1929_0
Schorn_k141_24532214,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1898_0
Schorn_k141_25163526,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1066_0
Schorn_k141_25277012,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1930_0
Schorn_k141_25547660,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,545_0
Schorn_k141_25619811,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1920_0
Schorn_k141_2581580,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1898_0
Schorn_k141_26208418,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1913_0
Schorn_k141_26477,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1926_0
Schorn_k141_26919022,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Straboviridae,Unclassified,1915_0
Schorn_k141_27112516,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1847_0
Schorn_k141_27433551,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,932_0
Schorn_k141_27565158,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,532_0
Schorn_k141_27596671,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1931_0
Schorn_k141_27708502,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,579_0
Schorn_k141_27719303,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,831_0
Schorn_k141_2785062,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1873_0
Schorn_k141_27889485,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,185_0
Schorn_k141_27988429,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,267_0
Schorn_k141_27990274,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1932_0
Schorn_k141_28203291,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1901_0
Schorn_k141_2891531,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1783_0
Schorn_k141_28919149,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1917_0
Schorn_k141_29050277,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1925_0
Schorn_k141_29217684,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1722_0
Schorn_k141_29284122,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1923_0
Schorn_k141_29620699,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,795_0
Schorn_k141_2973021,Clustered,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,1933_0
Schorn_k141_29735192,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,515_0
Schorn_k141_30253129,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1907_0
Schorn_k141_30569373,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,761_0
Schorn_k141_31311314,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,515_0
Schorn_k141_31404337,Clustered,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Algavirales,Phycodnaviridae,1898_0
Schorn_k141_31856018,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1928_0
Schorn_k141_31930249,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1712_0
Schorn_k141_31975989,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1929_0
Schorn_k141_32742510,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1183_0
Schorn_k141_33029840,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1668_0
Schorn_k141_33069682,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1931_0
Schorn_k141_33082232,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,98_0
Schorn_k141_33180620,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1751_0
Schorn_k141_33207297,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1927_0
Schorn_k141_3352243,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1120_0
Schorn_k141_33638274,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1926_0
Schorn_k141_33811374,Clustered,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,1017_0
Schorn_k141_34913648,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1700_0
Schorn_k141_34990355,Clustered,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,956_0
Schorn_k141_3517816,Clustered,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,792_0
Schorn_k141_35494486,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,932_0
Schorn_k141_35920562,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1906_0
Schorn_k141_3628590,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,955_0
Schorn_k141_36480252,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1927_0
Schorn_k141_3781147,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1896_0
Schorn_k141_4083898,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1902_0
Schorn_k141_4675572,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,975_0
Schorn_k141_4687032,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1909_0
Schorn_k141_5065193,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1916_0
Schorn_k141_5150499,Clustered,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,1807_0
Schorn_k141_5467664,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1801_0
Schorn_k141_626432,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1804_0
Schorn_k141_6830145,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1847_0
Schorn_k141_687489,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,792_0
Schorn_k141_6893413,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1897_0
Schorn_k141_7719463,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,323_0
Schorn_k141_7729292,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1668_0
Schorn_k141_7831193,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1937_0
Schorn_k141_7849618,Clustered,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,1930_0
Schorn_k141_7916584,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,515_0
Schorn_k141_7940702,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1843_0
Schorn_k141_7944680,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1517_0
Schorn_k141_8057014,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1914_0
Schorn_k141_811125,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,928_0
Schorn_k141_8253766,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1919_0
Schorn_k141_8419268,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1793_0
Schorn_k141_8546765,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,544_0
Schorn_k141_8841515,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Thumleimavirales,Hafunaviridae,1937_0
Schorn_k141_9198813,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1921_0
Schorn_k141_9478679,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1922_0
Schorn_k141_9482113,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1799_0
Schorn_k141_9540451,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1905_0
Schorn_k141_9783212,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1907_0
SoginMETA_k141_10184963,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1097_0
SoginMETA_k141_10222829,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,831_0
SoginMETA_k141_10299254,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,544_0
SoginMETA_k141_10318166,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1318_0
SoginMETA_k141_10323408,Clustered,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Unclassified,Unclassified,1938_0
SoginMETA_k141_1032502,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1889_0
SoginMETA_k141_10533497,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,974_0
SoginMETA_k141_10788626,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1939_0
SoginMETA_k141_10831299,Clustered,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,1940_0
SoginMETA_k141_11054171,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1939_0
SoginMETA_k141_11144910,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1941_0
SoginMETA_k141_11380876,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1766_0
SoginMETA_k141_11433739,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1942_0
SoginMETA_k141_11525280,Clustered,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,1894_0
SoginMETA_k141_11547679,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1936_0
SoginMETA_k141_11728576,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,659_0
SoginMETA_k141_117909,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,730_0
SoginMETA_k141_11802287,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1526_0
SoginMETA_k141_12268739,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1904_0
SoginMETA_k141_12280382,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1129_0
SoginMETA_k141_12289183,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,831_0
SoginMETA_k141_12507281,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1943_0
SoginMETA_k141_12529538,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1529_0
SoginMETA_k141_1264138,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1060_0
SoginMETA_k141_12693572,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,974_0
SoginMETA_k141_12765257,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1025_0
SoginMETA_k141_12807699,Clustered,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,1075_0
SoginMETA_k141_12915237,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1945_0
SoginMETA_k141_12931231,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1753_0
SoginMETA_k141_12992638,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,831_0
SoginMETA_k141_13116320,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,969_0
SoginMETA_k141_13131732,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1946_0
SoginMETA_k141_13287396,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1782_0
SoginMETA_k141_13320019,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,974_0
SoginMETA_k141_13457768,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1026_0
SoginMETA_k141_13554239,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1106_0
SoginMETA_k141_13591498,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1067_0
SoginMETA_k141_13605446,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1935_0
SoginMETA_k141_136306,Clustered,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,1947_0
SoginMETA_k141_13812023,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,807_0
SoginMETA_k141_14023286,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1948_0
SoginMETA_k141_14076983,Clustered,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,1118_0
SoginMETA_k141_14141383,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,794_0
SoginMETA_k141_1428599,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1949_0
SoginMETA_k141_14479372,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,799_0
SoginMETA_k141_14508520,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1475_0
SoginMETA_k141_14569914,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,978_0
SoginMETA_k141_14798099,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1951_0
SoginMETA_k141_14929914,Clustered,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,1026_0
SoginMETA_k141_15237368,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,801_0
SoginMETA_k141_1523930,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1475_0
SoginMETA_k141_15254385,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1519_0
SoginMETA_k141_15279045,Clustered,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Unclassified,Unclassified,1935_0
