	VIRSorter category	Circular	Prophage	Gene count	Strand switches	potential AMG count	Transposase present	Possible Non-Viral Contig	Viral genes with host benefits	Viral hypothetical genes	Viral genes with unknown function	Viral genes with viral benefits	Viral replication genes	Viral structure genes
c_000001142328__full-cat_2	2	False	False	18	10	0	False	0.0	0.0	18.0	0.0	0.0	0.0	0.0
c_000001145011__full-cat_2	2	False	False	7	3	0	False	0.14285714285714285	1.0	6.0	0.0	0.0	0.0	0.0
c_000001146575__full-cat_1	1	False	False	7	1	1	False	0.14285714285714285	1.0	5.0	1.0	0.0	0.0	0.0
c_000001147176__full-cat_2	2	False	False	4	1	0	False	0.0	0.0	4.0	0.0	0.0	0.0	0.0
c_000001148285__full-cat_2	2	False	False	5	2	0	False	0.0	0.0	4.0	1.0	0.0	0.0	0.0
c_000001148965__full-cat_2	2	False	False	5	2	0	False	0.4	2.0	3.0	0.0	0.0	0.0	0.0
c_000001149175__full-cat_2	2	False	False	22	4	4	False	0.18181818181818182	4.0	18.0	0.0	0.0	0.0	0.0
c_000001149546__full-cat_2	2	False	False	6	0	0	False	0.16666666666666666	3.0	2.0	1.0	0.0	0.0	0.0
c_000001150853__full-cat_2	2	False	False	6	4	0	False	0.0	0.0	6.0	0.0	0.0	0.0	0.0
c_000001153630__full-cat_2	2	False	False	9	3	0	False	0.0	0.0	9.0	0.0	0.0	0.0	0.0
c_000001154888__full-cat_1	1	False	False	16	1	0	False	0.0	1.0	15.0	0.0	0.0	0.0	0.0
c_000001155342__full-cat_2	2	False	False	5	0	0	False	0.0	0.0	5.0	0.0	0.0	0.0	0.0
c_000001155574__full-cat_2	2	False	False	9	5	1	False	0.0	0.0	8.0	1.0	0.0	0.0	0.0
c_000001155629__full-cat_2	2	False	False	5	1	0	False	0.0	0.0	5.0	0.0	0.0	0.0	0.0
c_000001155767__full-cat_2	2	False	False	6	3	0	False	0.0	0.0	6.0	0.0	0.0	0.0	0.0
c_000001157490__full-cat_1	1	False	False	7	0	0	False	0.0	1.0	6.0	0.0	0.0	0.0	0.0
c_000001158062__full-cat_2	2	False	False	6	0	0	False	0.0	0.0	5.0	1.0	0.0	0.0	0.0
c_000001158392__full-cat_2	2	False	False	9	5	0	False	0.0	0.0	9.0	0.0	0.0	0.0	0.0
c_000001159851__full-cat_2	2	False	False	4	0	0	False	0.0	0.0	4.0	0.0	0.0	0.0	0.0
c_000001160182__full-cat_2	2	False	False	8	0	0	False	0.125	1.0	3.0	4.0	0.0	0.0	0.0
c_000001161731__full-cat_2	2	False	False	2	0	0	False	0.0	0.0	2.0	0.0	0.0	0.0	0.0
c_000001162126__full-cat_2	2	False	False	7	3	0	False	0.0	0.0	7.0	0.0	0.0	0.0	0.0
c_000001164932__full-cat_2	2	False	False	11	3	0	False	0.0	0.0	11.0	0.0	0.0	0.0	0.0
c_000001165703__full-cat_2	2	False	False	7	0	0	False	0.0	0.0	7.0	0.0	0.0	0.0	0.0
c_000001166750__full-cat_2	2	False	False	13	2	0	False	0.0	0.0	13.0	0.0	0.0	0.0	0.0
c_000001166810__full-cat_1	1	False	False	7	0	0	False	0.0	0.0	4.0	3.0	0.0	0.0	0.0
c_000001167350__full-cat_2	2	False	False	10	8	0	False	0.0	0.0	10.0	0.0	0.0	0.0	0.0
c_000001168564__full-cat_2	2	False	False	8	1	0	False	0.125	1.0	7.0	0.0	0.0	0.0	0.0
c_000001170697__full-cat_2	2	False	False	19	7	0	False	0.0	0.0	19.0	0.0	0.0	0.0	0.0
c_000001171942__full-cat_2	2	False	False	10	0	0	False	0.1	1.0	8.0	1.0	0.0	0.0	0.0
c_000001172976__full-cat_2	2	False	False	10	6	0	False	0.0	0.0	9.0	0.0	0.0	1.0	0.0
c_000001175330__full-cat_2	2	False	False	7	4	0	False	0.0	0.0	7.0	0.0	0.0	0.0	0.0
c_000001175951__full-cat_1	1	False	False	10	0	0	False	0.0	1.0	9.0	0.0	0.0	0.0	0.0
c_000001176547__full-cat_1	1	False	False	3	0	0	False	0.0	0.0	1.0	1.0	0.0	0.0	1.0
c_000001179050__full-cat_2	2	False	False	8	3	0	False	0.0	1.0	7.0	0.0	0.0	0.0	0.0
c_000001179698__full-cat_2	2	False	False	10	3	0	False	0.0	1.0	9.0	0.0	0.0	0.0	0.0
c_000001179874__full-cat_2	2	False	False	5	1	0	False	0.0	0.0	5.0	0.0	0.0	0.0	0.0
c_000001180768__full-cat_2	2	False	False	6	2	0	True	0.0	1.0	5.0	0.0	0.0	0.0	0.0
c_000001183951__full-cat_1	1	False	False	5	0	0	False	0.0	0.0	5.0	0.0	0.0	0.0	0.0
c_000001188917__full-cat_1	1	False	False	10	5	0	False	0.0	1.0	9.0	0.0	0.0	0.0	0.0
c_000001191470__full-cat_2	2	False	False	12	1	0	False	0.08333333333333333	1.0	11.0	0.0	0.0	0.0	0.0
c_000001193376__full-cat_2	2	False	False	12	0	0	False	0.08333333333333333	4.0	7.0	0.0	1.0	0.0	0.0
c_000001199016__full-cat_2	2	False	False	5	2	0	False	0.0	0.0	5.0	0.0	0.0	0.0	0.0
c_000001199420__full-cat_2	2	False	False	7	3	0	False	0.0	0.0	7.0	0.0	0.0	0.0	0.0
c_000001199475__full-cat_2	2	False	False	4	2	0	False	0.0	0.0	4.0	0.0	0.0	0.0	0.0
c_000001200644__full-cat_2	2	False	False	4	1	0	True	0.0	0.0	2.0	1.0	0.0	1.0	0.0
c_000001200735__full-cat_1	1	False	False	29	10	0	False	0.034482758620689655	2.0	27.0	0.0	0.0	0.0	0.0
c_000001200796__full-cat_2	2	False	False	11	3	0	False	0.0	0.0	11.0	0.0	0.0	0.0	0.0
c_000001201339__full-cat_2	2	False	False	5	3	0	False	0.0	0.0	3.0	2.0	0.0	0.0	0.0
c_000001201997__full-cat_2	2	False	False	14	3	0	False	0.0	0.0	14.0	0.0	0.0	0.0	0.0
c_000001203111__full-cat_2	2	False	False	9	4	0	False	0.0	0.0	9.0	0.0	0.0	0.0	0.0
c_000001203899__full-cat_2	2	False	False	8	1	0	False	0.0	0.0	8.0	0.0	0.0	0.0	0.0
c_000001204083__full-cat_1	1	False	False	7	0	0	False	0.0	2.0	3.0	1.0	0.0	1.0	0.0
c_000001204368__full-cat_2	2	False	False	3	1	0	False	0.3333333333333333	1.0	2.0	0.0	0.0	0.0	0.0
c_000001205790__full-cat_2	2	False	False	8	4	0	False	0.0	0.0	8.0	0.0	0.0	0.0	0.0
c_000001206068__full-cat_2	2	False	False	4	3	0	False	0.0	0.0	4.0	0.0	0.0	0.0	0.0
c_000001206926__full-cat_1	1	False	False	9	0	0	False	0.0	3.0	3.0	3.0	0.0	0.0	0.0
c_000001207807__full-cat_2	2	False	False	4	2	0	False	0.0	0.0	3.0	1.0	0.0	0.0	0.0
c_000001211539__full-cat_2	2	False	False	22	11	0	False	0.0	0.0	21.0	1.0	0.0	0.0	0.0
c_000001211832__full-cat_2	2	False	False	7	5	0	False	0.0	0.0	7.0	0.0	0.0	0.0	0.0
c_000001213913__full-cat_2	2	False	False	8	1	0	False	0.125	1.0	6.0	1.0	0.0	0.0	0.0
c_000001215455__full-cat_1	1	False	False	15	0	0	False	0.06666666666666667	1.0	9.0	5.0	0.0	0.0	0.0
c_000001216889__full-cat_2	2	False	False	4	2	0	False	0.0	0.0	4.0	0.0	0.0	0.0	0.0
c_000001217045__full-cat_2	2	False	False	3	1	0	False	0.0	0.0	3.0	0.0	0.0	0.0	0.0
c_000001217145__full-cat_2	2	False	False	6	0	0	False	0.0	1.0	5.0	0.0	0.0	0.0	0.0
c_000001217609__full-cat_2	2	False	False	7	4	0	False	0.0	0.0	7.0	0.0	0.0	0.0	0.0
c_000001217857__full-cat_2	2	False	False	7	0	0	False	0.0	0.0	7.0	0.0	0.0	0.0	0.0
c_000001219304__full-cat_2	2	False	False	7	3	1	True	0.0	1.0	6.0	0.0	0.0	0.0	0.0
c_000001220701__full-cat_1	1	False	False	14	3	0	False	0.07142857142857142	2.0	11.0	1.0	0.0	0.0	0.0
c_000001221218__full-cat_2	2	False	False	8	3	0	False	0.0	0.0	8.0	0.0	0.0	0.0	0.0
c_000001221610__full-cat_2	2	False	False	3	0	0	False	0.3333333333333333	1.0	2.0	0.0	0.0	0.0	0.0
c_000001222587__full-cat_2	2	False	False	3	0	0	False	0.0	0.0	3.0	0.0	0.0	0.0	0.0
c_000001222943__full-cat_2	2	False	False	4	2	0	False	0.25	1.0	3.0	0.0	0.0	0.0	0.0
c_000001227501__full-cat_2	2	False	False	4	3	0	False	0.0	0.0	4.0	0.0	0.0	0.0	0.0
c_000001227666__full-cat_2	2	False	False	3	0	0	False	0.0	0.0	3.0	0.0	0.0	0.0	0.0
c_000001228631__full-cat_2	2	False	False	4	2	0	False	0.25	1.0	3.0	0.0	0.0	0.0	0.0
c_000001229508__full-cat_1	1	False	False	12	5	2	False	0.25	3.0	7.0	2.0	0.0	0.0	0.0
c_000001231390__full-cat_1	1	False	False	13	3	0	False	0.0	1.0	9.0	3.0	0.0	0.0	0.0
c_000001231738__full-cat_2	2	False	False	6	2	0	False	0.0	0.0	6.0	0.0	0.0	0.0	0.0
c_000001231921__full-cat_2	2	False	False	6	3	0	False	0.16666666666666666	1.0	5.0	0.0	0.0	0.0	0.0
c_000001232375__full-cat_1	1	False	False	15	4	0	False	0.0	2.0	9.0	3.0	0.0	0.0	1.0
c_000001233026__full-cat_2	2	False	False	6	3	0	False	0.0	0.0	6.0	0.0	0.0	0.0	0.0
c_000001234403__full-cat_2	2	False	False	11	1	0	False	0.0	1.0	10.0	0.0	0.0	0.0	0.0
c_000001235295__full-cat_2	2	False	False	6	3	0	False	0.16666666666666666	1.0	5.0	0.0	0.0	0.0	0.0
c_000001235610__full-cat_2	2	False	False	6	3	0	False	0.0	0.0	5.0	1.0	0.0	0.0	0.0
c_000001236139__full-cat_1	1	False	False	25	10	0	False	0.04	2.0	23.0	0.0	0.0	0.0	0.0
c_000001237531__full-cat_2	2	False	False	4	1	0	False	0.0	0.0	4.0	0.0	0.0	0.0	0.0
c_000001239987__full-cat_2	2	False	False	6	3	0	False	0.16666666666666666	1.0	5.0	0.0	0.0	0.0	0.0
c_000001240307__full-cat_2	2	False	False	9	4	0	False	0.0	0.0	9.0	0.0	0.0	0.0	0.0
c_000001242291__full-cat_2	2	False	False	6	5	0	False	0.0	0.0	6.0	0.0	0.0	0.0	0.0
c_000001242462__full-cat_2	2	False	False	8	6	0	False	0.0	0.0	7.0	1.0	0.0	0.0	0.0
c_000001242967__full-cat_2	2	False	False	4	1	0	False	0.0	0.0	4.0	0.0	0.0	0.0	0.0
c_000001243729__full-cat_2	2	False	False	13	5	0	False	0.0	0.0	13.0	0.0	0.0	0.0	0.0
c_000001243773__full-cat_2	2	False	False	6	2	0	False	0.3333333333333333	2.0	3.0	1.0	0.0	0.0	0.0
c_000001244370__full-cat_2	2	False	False	3	0	0	False	0.0	0.0	3.0	0.0	0.0	0.0	0.0
c_000001245724__full-cat_2	2	False	False	6	2	0	False	0.0	0.0	6.0	0.0	0.0	0.0	0.0
c_000001246847__full-cat_1	1	False	False	29	1	0	False	0.0	3.0	24.0	1.0	0.0	0.0	1.0
c_000001248166__full-cat_2	2	False	False	3	0	0	False	0.3333333333333333	1.0	2.0	0.0	0.0	0.0	0.0
c_000001248277__full-cat_2	2	False	False	7	2	0	True	0.2857142857142857	2.0	5.0	0.0	0.0	0.0	0.0
c_000001249123__full-cat_2	2	False	False	7	4	0	False	0.0	0.0	7.0	0.0	0.0	0.0	0.0
c_000001249626__full-cat_2	2	False	False	5	1	0	False	0.0	0.0	5.0	0.0	0.0	0.0	0.0
c_000001251805__full-cat_2	2	False	False	11	3	0	False	0.0	0.0	10.0	1.0	0.0	0.0	0.0
c_000001251851__full-cat_1	1	False	False	7	4	0	False	0.0	1.0	6.0	0.0	0.0	0.0	0.0
c_000001254710__full-cat_1	1	False	False	4	1	0	False	0.0	0.0	4.0	0.0	0.0	0.0	0.0
c_000001255508__full-cat_2	2	False	False	3	1	0	False	0.0	0.0	3.0	0.0	0.0	0.0	0.0
c_000001257639__full-cat_2	2	False	False	8	4	0	False	0.125	1.0	6.0	1.0	0.0	0.0	0.0
c_000001259560__full-cat_2	2	False	False	13	0	0	False	0.0	0.0	12.0	1.0	0.0	0.0	0.0
c_000001261545__full-cat_2	2	False	False	8	6	0	False	0.125	1.0	6.0	1.0	0.0	0.0	0.0
c_000001262088__full-cat_1	1	False	False	13	0	0	False	0.0	1.0	7.0	3.0	0.0	0.0	2.0
c_000001262219__full-cat_2	2	False	False	9	1	0	False	0.0	0.0	8.0	1.0	0.0	0.0	0.0
c_000001263055__full-cat_2	2	False	False	10	1	0	False	0.0	0.0	10.0	0.0	0.0	0.0	0.0
c_000001263534__full-cat_2	2	False	False	8	0	0	False	0.0	0.0	8.0	0.0	0.0	0.0	0.0
c_000001263604__full-cat_2	2	False	False	13	4	1	False	0.07692307692307693	1.0	11.0	1.0	0.0	0.0	0.0
c_000001264140__full-cat_1	1	False	False	15	4	0	False	0.0	2.0	7.0	3.0	1.0	1.0	1.0
c_000001264280__full-cat_1	1	False	False	9	0	0	False	0.0	0.0	8.0	0.0	0.0	1.0	0.0
c_000001264352__full-cat_1	1	False	False	7	1	0	False	0.0	0.0	3.0	4.0	0.0	0.0	0.0
c_000001265661__full-cat_2	2	False	False	6	2	0	False	0.0	0.0	6.0	0.0	0.0	0.0	0.0
c_000001267574__full-cat_2	2	False	False	7	2	0	False	0.0	0.0	7.0	0.0	0.0	0.0	0.0
c_000001268361__full-cat_2	2	False	False	4	1	0	False	0.0	0.0	4.0	0.0	0.0	0.0	0.0
c_000001269801__full-cat_2	2	False	False	5	3	0	False	0.0	0.0	5.0	0.0	0.0	0.0	0.0
c_000001270376__full-cat_1	1	False	False	6	1	0	False	0.0	0.0	6.0	0.0	0.0	0.0	0.0
c_000001271326__full-cat_2	2	False	False	8	2	0	False	0.0	0.0	8.0	0.0	0.0	0.0	0.0
c_000001271365__full-cat_2	2	False	False	10	2	0	False	0.0	0.0	10.0	0.0	0.0	0.0	0.0
c_000001271908__full-cat_2	2	False	False	7	4	0	False	0.0	0.0	6.0	1.0	0.0	0.0	0.0
c_000001273008__full-cat_1	1	False	False	6	1	0	False	0.16666666666666666	1.0	5.0	0.0	0.0	0.0	0.0
c_000001273202__full-cat_2	2	False	False	5	0	0	False	0.0	0.0	4.0	1.0	0.0	0.0	0.0
c_000001275220__full-cat_2	2	False	False	10	3	0	False	0.0	0.0	10.0	0.0	0.0	0.0	0.0
c_000001279348__full-cat_2	2	False	False	7	2	0	False	0.0	0.0	7.0	0.0	0.0	0.0	0.0
c_000001280159__full-cat_1	1	False	False	8	4	0	False	0.25	2.0	6.0	0.0	0.0	0.0	0.0
c_000001280762__full-cat_2	2	False	False	11	5	0	False	0.0	0.0	10.0	1.0	0.0	0.0	0.0
c_000001283361__full-cat_2	2	False	False	10	2	0	False	0.0	2.0	8.0	0.0	0.0	0.0	0.0
c_000001283663__full-cat_2	2	False	False	13	4	0	False	0.15384615384615385	2.0	11.0	0.0	0.0	0.0	0.0
c_000001288816__full-cat_2	2	False	False	7	3	0	False	0.14285714285714285	1.0	6.0	0.0	0.0	0.0	0.0
c_000001289709__full-cat_2	2	False	False	8	4	0	False	0.0	0.0	8.0	0.0	0.0	0.0	0.0
c_000001289780__full-cat_1	1	False	False	14	5	0	False	0.0	0.0	11.0	2.0	1.0	0.0	0.0
c_000001292158__full-cat_2	2	False	False	8	2	0	False	0.0	0.0	8.0	0.0	0.0	0.0	0.0
c_000001293775__full-cat_2	2	False	False	9	6	0	False	0.0	0.0	9.0	0.0	0.0	0.0	0.0
c_000001294766__full-cat_2	2	False	False	11	4	2	False	0.0	1.0	10.0	0.0	0.0	0.0	0.0
c_000001294871__full-cat_2	2	False	False	16	4	1	False	0.0625	1.0	13.0	2.0	0.0	0.0	0.0
c_000001295106__full-cat_2	2	False	False	15	0	0	False	0.0	0.0	14.0	1.0	0.0	0.0	0.0
c_000001295550__full-cat_1	1	False	False	8	0	0	False	0.0	0.0	5.0	3.0	0.0	0.0	0.0
c_000001297549__full-cat_2	2	False	False	5	1	0	False	0.2	1.0	3.0	1.0	0.0	0.0	0.0
c_000001298514__full-cat_2	2	False	False	6	1	0	False	0.3333333333333333	2.0	2.0	2.0	0.0	0.0	0.0
c_000001299505__full-cat_1	1	False	False	9	4	0	False	0.1111111111111111	1.0	8.0	0.0	0.0	0.0	0.0
c_000001299535__full-cat_2	2	False	False	7	2	0	False	0.14285714285714285	2.0	5.0	0.0	0.0	0.0	0.0
c_000001301402__full-cat_2	2	False	False	6	2	0	False	0.0	0.0	5.0	1.0	0.0	0.0	0.0
c_000001302114__full-cat_2	2	False	False	3	1	0	False	0.0	0.0	3.0	0.0	0.0	0.0	0.0
c_000001303323__full-cat_1	1	False	False	4	2	0	False	0.0	0.0	4.0	0.0	0.0	0.0	0.0
c_000001303455__full-cat_1	1	False	False	16	8	0	False	0.0	0.0	15.0	1.0	0.0	0.0	0.0
c_000001304622__full-cat_2	2	False	False	7	1	0	False	0.0	0.0	7.0	0.0	0.0	0.0	0.0
c_000001310110__full-cat_2	2	False	False	7	3	0	False	0.0	0.0	7.0	0.0	0.0	0.0	0.0
c_000001310140__full-cat_2	2	False	False	6	2	0	False	0.0	0.0	5.0	1.0	0.0	0.0	0.0
c_000001310493__full-cat_2	2	False	False	10	6	1	False	0.0	0.0	9.0	1.0	0.0	0.0	0.0
c_000001311278__full-cat_2	2	False	False	8	4	0	False	0.0	0.0	7.0	1.0	0.0	0.0	0.0
c_000001312116__full-cat_2	2	False	False	6	0	0	False	0.0	0.0	6.0	0.0	0.0	0.0	0.0
c_000001312325__full-cat_2	2	False	False	7	4	0	False	0.0	2.0	5.0	0.0	0.0	0.0	0.0
c_000001312527__full-cat_2	2	False	False	32	3	1	False	0.03125	4.0	27.0	0.0	0.0	1.0	0.0
c_000001315829__full-cat_1	1	False	False	8	0	0	False	0.0	0.0	6.0	2.0	0.0	0.0	0.0
c_000001317438__full-cat_2	2	False	False	5	2	0	False	0.0	0.0	4.0	1.0	0.0	0.0	0.0
c_000001318319__full-cat_2	2	False	False	9	3	0	False	0.0	0.0	9.0	0.0	0.0	0.0	0.0
c_000001320508__full-cat_1	1	False	False	3	0	0	False	0.0	0.0	2.0	1.0	0.0	0.0	0.0
c_000001320890__full-cat_2	2	False	False	3	1	0	False	0.0	0.0	3.0	0.0	0.0	0.0	0.0
c_000001320968__full-cat_2	2	False	False	23	3	0	False	0.043478260869565216	3.0	19.0	0.0	0.0	0.0	1.0
c_000001321879__full-cat_2	2	False	False	4	0	0	False	0.25	1.0	3.0	0.0	0.0	0.0	0.0
c_000001322796__full-cat_2	2	False	False	4	1	0	False	0.25	1.0	3.0	0.0	0.0	0.0	0.0
c_000001322831__full-cat_2	2	False	False	6	1	0	False	0.0	0.0	6.0	0.0	0.0	0.0	0.0
c_000001323164__full-cat_2	2	False	False	6	0	0	False	0.16666666666666666	1.0	5.0	0.0	0.0	0.0	0.0
c_000001324498__full-cat_2	2	False	False	8	4	0	False	0.125	1.0	7.0	0.0	0.0	0.0	0.0
c_000001325884__full-cat_2	2	False	False	8	1	0	False	0.0	0.0	8.0	0.0	0.0	0.0	0.0
c_000001327384__full-cat_2	2	False	False	8	1	0	True	0.0	0.0	7.0	1.0	0.0	0.0	0.0
c_000001327896__full-cat_2	2	False	False	5	1	0	False	0.0	1.0	4.0	0.0	0.0	0.0	0.0
c_000001328757__full-cat_2	2	False	False	3	1	0	False	0.0	1.0	2.0	0.0	0.0	0.0	0.0
c_000001330979__full-cat_1	1	False	False	13	4	0	False	0.0	0.0	12.0	1.0	0.0	0.0	0.0
c_000001331665__full-cat_1	1	False	False	14	4	4	False	0.0	1.0	11.0	2.0	0.0	0.0	0.0
c_000001333038__full-cat_2	2	False	False	8	1	0	False	0.0	0.0	8.0	0.0	0.0	0.0	0.0
c_000001333188__full-cat_2	2	False	False	14	2	0	True	0.0	1.0	13.0	0.0	0.0	0.0	0.0
c_000001333521__full-cat_1	1	False	False	9	2	0	True	0.0	0.0	8.0	0.0	0.0	1.0	0.0
c_000001335309__full-cat_1	1	False	False	13	0	0	False	0.07692307692307693	3.0	9.0	1.0	0.0	0.0	0.0
c_000001336177__full-cat_2	2	False	False	4	1	0	False	0.0	0.0	4.0	0.0	0.0	0.0	0.0
c_000001338361__full-cat_2	2	False	False	5	2	0	False	0.0	0.0	5.0	0.0	0.0	0.0	0.0
c_000001338502__full-cat_2	2	False	False	4	1	0	False	0.0	0.0	4.0	0.0	0.0	0.0	0.0
c_000001338905__full-cat_1	1	False	False	17	0	0	False	0.058823529411764705	1.0	14.0	2.0	0.0	0.0	0.0
c_000001342158__full-cat_2	2	False	False	14	7	0	False	0.0	0.0	14.0	0.0	0.0	0.0	0.0
c_000001342669__full-cat_2	2	False	False	6	2	0	False	0.0	1.0	5.0	0.0	0.0	0.0	0.0
c_000001343482__full-cat_2	2	False	False	3	1	0	False	0.0	0.0	3.0	0.0	0.0	0.0	0.0
c_000001344827__full-cat_1	1	False	False	9	0	0	False	0.0	2.0	6.0	1.0	0.0	0.0	0.0
c_000001345613__full-cat_2	2	False	False	6	2	0	False	0.0	1.0	5.0	0.0	0.0	0.0	0.0
c_000001345936__full-cat_1	1	False	False	7	3	0	False	0.0	0.0	7.0	0.0	0.0	0.0	0.0
c_000001346237__full-cat_2	2	False	False	41	18	2	False	0.024390243902439025	1.0	40.0	0.0	0.0	0.0	0.0
c_000001347325__full-cat_2	2	False	False	6	3	0	False	0.0	0.0	6.0	0.0	0.0	0.0	0.0
c_000001347707__full-cat_1	1	False	False	12	3	1	False	0.0	0.0	12.0	0.0	0.0	0.0	0.0
c_000001349098__full-cat_2	2	False	False	9	4	0	False	0.1111111111111111	1.0	7.0	0.0	0.0	1.0	0.0
c_000001351575__full-cat_2	2	False	False	10	2	0	False	0.1	1.0	9.0	0.0	0.0	0.0	0.0
c_000001352042__full-cat_2	2	False	False	6	4	0	False	0.16666666666666666	1.0	5.0	0.0	0.0	0.0	0.0
c_000001356008__full-cat_2	2	False	False	6	2	0	False	0.0	1.0	5.0	0.0	0.0	0.0	0.0
c_000001356656__full-cat_2	2	False	False	7	1	0	False	0.0	0.0	7.0	0.0	0.0	0.0	0.0
c_000001356669__full-cat_2	2	False	False	11	4	0	False	0.0	0.0	11.0	0.0	0.0	0.0	0.0
c_000001356716__full-cat_2	2	False	False	9	4	0	False	0.2222222222222222	2.0	6.0	1.0	0.0	0.0	0.0
c_000001358231__full-cat_2	2	False	False	6	2	0	False	0.0	0.0	5.0	1.0	0.0	0.0	0.0
c_000001358653__full-cat_1	1	False	False	9	2	0	False	0.0	1.0	7.0	1.0	0.0	0.0	0.0
c_000001358762__full-cat_2	2	False	False	4	1	0	False	0.5	3.0	1.0	0.0	0.0	0.0	0.0
c_000001358925__full-cat_2	2	False	False	9	2	0	False	0.0	0.0	9.0	0.0	0.0	0.0	0.0
c_000001359319__full-cat_2	2	False	False	4	2	0	False	0.0	1.0	3.0	0.0	0.0	0.0	0.0
c_000001359961__full-cat_2	2	False	False	7	1	0	False	0.0	0.0	7.0	0.0	0.0	0.0	0.0
c_000001361446__full-cat_2	2	False	False	20	6	1	False	0.05	1.0	17.0	2.0	0.0	0.0	0.0
c_000001362763__full-cat_2	2	False	False	9	4	0	False	0.0	0.0	9.0	0.0	0.0	0.0	0.0
c_000001364081__full-cat_2	2	False	False	8	3	0	False	0.125	1.0	7.0	0.0	0.0	0.0	0.0
c_000001364723__full-cat_2	2	False	False	10	5	1	False	0.2	2.0	8.0	0.0	0.0	0.0	0.0
c_000001364874__full-cat_1	1	False	False	7	2	0	False	0.0	1.0	6.0	0.0	0.0	0.0	0.0
c_000001366297__full-cat_2	2	False	False	7	1	0	False	0.2857142857142857	2.0	5.0	0.0	0.0	0.0	0.0
c_000001366541__full-cat_2	2	False	False	4	1	0	False	0.0	0.0	4.0	0.0	0.0	0.0	0.0
c_000001367083__full-cat_2	2	False	False	6	1	0	False	0.16666666666666666	1.0	5.0	0.0	0.0	0.0	0.0
c_000001368859__full-cat_2	2	False	False	6	3	0	False	0.0	0.0	6.0	0.0	0.0	0.0	0.0
c_000001371221__full-cat_2	2	False	False	5	1	0	False	0.0	0.0	5.0	0.0	0.0	0.0	0.0
c_000001373334__full-cat_1	1	False	False	6	1	0	False	0.0	0.0	6.0	0.0	0.0	0.0	0.0
c_000001375300__full-cat_2	2	False	False	5	2	0	False	0.2	1.0	4.0	0.0	0.0	0.0	0.0
c_000001375940__full-cat_2	2	False	False	5	0	0	False	0.0	0.0	5.0	0.0	0.0	0.0	0.0
c_000001376707__full-cat_2	2	False	False	4	1	0	False	0.0	0.0	4.0	0.0	0.0	0.0	0.0
c_000001377763__full-cat_2	2	False	False	14	5	0	False	0.21428571428571427	3.0	10.0	1.0	0.0	0.0	0.0
c_000001378984__full-cat_2	2	False	False	18	8	0	False	0.0	0.0	18.0	0.0	0.0	0.0	0.0
c_000001379503__full-cat_2	2	False	False	6	1	0	False	0.0	0.0	5.0	1.0	0.0	0.0	0.0
c_000001379597__full-cat_2	2	False	False	4	1	0	False	0.0	0.0	4.0	0.0	0.0	0.0	0.0
c_000001380369__full-cat_2	2	False	False	7	4	0	False	0.14285714285714285	1.0	6.0	0.0	0.0	0.0	0.0
c_000001380752__full-cat_1	1	False	False	5	2	0	False	0.0	0.0	5.0	0.0	0.0	0.0	0.0
c_000001382853__full-cat_1	1	False	False	99	2	1	False	0.030303030303030304	11.0	63.0	24.0	0.0	0.0	1.0
c_000001384300__full-cat_2	2	False	False	6	2	0	False	0.0	0.0	6.0	0.0	0.0	0.0	0.0
c_000001385257__full-cat_2	2	False	False	5	0	0	False	0.0	0.0	5.0	0.0	0.0	0.0	0.0
c_000001385467__full-cat_2	2	False	False	6	4	0	False	0.0	0.0	5.0	1.0	0.0	0.0	0.0
c_000001386305__full-cat_2	2	False	False	4	1	0	False	0.0	0.0	4.0	0.0	0.0	0.0	0.0
c_000001387472__full-cat_2	2	False	False	4	1	0	False	0.0	0.0	4.0	0.0	0.0	0.0	0.0
c_000001393355__full-cat_2	2	False	False	6	3	0	False	0.0	1.0	5.0	0.0	0.0	0.0	0.0
c_000001394590__full-cat_2	2	False	False	4	0	0	False	0.0	0.0	4.0	0.0	0.0	0.0	0.0
c_000001394810__full-cat_2	2	False	False	7	2	0	False	0.14285714285714285	1.0	5.0	1.0	0.0	0.0	0.0
c_000001397134__full-cat_2	2	False	False	3	0	0	False	0.0	1.0	2.0	0.0	0.0	0.0	0.0
c_000001397732__full-cat_2	2	False	False	7	1	0	False	0.14285714285714285	1.0	6.0	0.0	0.0	0.0	0.0
c_000001400780__full-cat_2	2	False	False	6	1	0	False	0.0	0.0	6.0	0.0	0.0	0.0	0.0
c_000001401198__full-cat_2	2	False	False	9	2	0	False	0.0	1.0	8.0	0.0	0.0	0.0	0.0
c_000001401327__full-cat_2	2	False	False	6	0	0	False	0.16666666666666666	1.0	5.0	0.0	0.0	0.0	0.0
c_000001401344__full-cat_2	2	False	False	13	1	0	False	0.0	1.0	11.0	1.0	0.0	0.0	0.0
c_000001402794__full-cat_2	2	False	False	7	2	0	False	0.0	0.0	7.0	0.0	0.0	0.0	0.0
c_000001405797__full-cat_2	2	False	False	6	3	0	False	0.0	0.0	6.0	0.0	0.0	0.0	0.0
c_000001406482__full-cat_2	2	False	False	8	3	0	False	0.125	1.0	6.0	1.0	0.0	0.0	0.0
c_000001406688__full-cat_2	2	False	False	7	0	0	False	0.0	0.0	6.0	1.0	0.0	0.0	0.0
c_000001409052__full-cat_2	2	False	False	9	4	0	False	0.0	0.0	9.0	0.0	0.0	0.0	0.0
