	VIRSorter category	Circular	Prophage	Gene count	Strand switches	potential AMG count	Transposase present	Possible Non-Viral Contig	Viral hypothetical genes	Viral genes with host benefits	Viral genes with unknown function	Viral genes with viral benefits	Viral replication genes	Viral structure genes
k141_17819653__full-cat_2	2	False	False	6	1	0	False	0.0	6	0.0	0.0	0.0	0.0	0.0
k141_17822870__full-cat_1	1	False	False	8	2	0	False	0.0	6	0.0	2.0	0.0	0.0	0.0
k141_17823402__full-cat_2	2	False	False	6	1	0	False	0.0	6	0.0	0.0	0.0	0.0	0.0
k141_17824797__full-cat_2	2	False	False	5	0	0	False	0.0	4	0.0	0.0	0.0	1.0	0.0
k141_17831217__full-cat_2	2	False	False	9	0	0	False	0.0	8	0.0	1.0	0.0	0.0	0.0
k141_17833668__full-cat_2	2	False	False	14	0	0	False	0.0	13	0.0	0.0	0.0	1.0	0.0
k141_17847111__full-cat_2	2	False	False	8	0	0	False	0.0	7	0.0	1.0	0.0	0.0	0.0
k141_17860568__full-cat_2	2	False	False	9	4	0	False	0.2222222222222222	7	2.0	0.0	0.0	0.0	0.0
k141_17871177__full-cat_2	2	False	False	5	3	0	False	0.0	3	0.0	1.0	0.0	1.0	0.0
k141_17879129__full-cat_2	2	False	False	8	1	0	False	0.125	6	1.0	1.0	0.0	0.0	0.0
k141_17887743__full-cat_1	1	False	False	7	0	0	False	0.0	3	0.0	1.0	0.0	3.0	0.0
k141_17889401__full-cat_2	2	False	False	5	1	0	False	0.0	5	0.0	0.0	0.0	0.0	0.0
k141_17890402__full-cat_1	1	False	False	8	4	0	False	0.0	7	1.0	0.0	0.0	0.0	0.0
k141_17890798__full-cat_1	1	False	False	8	0	0	False	0.0	7	0.0	1.0	0.0	0.0	0.0
k141_17898985__full-cat_2	2	False	False	18	0	0	False	0.0	15	0.0	2.0	0.0	1.0	0.0
k141_17903901__full-cat_2	2	False	False	13	4	0	False	0.0	10	0.0	3.0	0.0	0.0	0.0
k141_17909351__full-cat_2	2	False	False	13	0	0	False	0.0	13	0.0	0.0	0.0	0.0	0.0
k141_17923338__full-cat_2	2	False	False	6	4	0	False	0.0	6	0.0	0.0	0.0	0.0	0.0
k141_17926893__full-cat_2	2	False	False	8	0	0	False	0.0	7	0.0	1.0	0.0	0.0	0.0
k141_17959427__full-cat_1	1	False	False	12	0	0	False	0.0	10	0.0	1.0	0.0	0.0	1.0
k141_17970686__full-cat_2	2	False	False	9	0	0	False	0.0	8	0.0	1.0	0.0	0.0	0.0
k141_17975468__full-cat_2	2	False	False	3	1	0	False	0.0	3	0.0	0.0	0.0	0.0	0.0
k141_17985795__full-cat_2	2	False	False	12	0	0	False	0.0	12	0.0	0.0	0.0	0.0	0.0
k141_17990086__full-cat_2	2	False	False	5	0	0	False	0.0	5	0.0	0.0	0.0	0.0	0.0
k141_18005322__full-cat_1	1	False	False	12	0	0	False	0.0	10	0.0	0.0	0.0	2.0	0.0
k141_18007652__full-cat_1	1	False	False	7	0	0	False	0.0	5	0.0	0.0	0.0	2.0	0.0
k141_18009268__full-cat_2	2	False	False	8	3	0	False	0.25	6	2.0	0.0	0.0	0.0	0.0
k141_19108778__full-cat_2	2	False	False	7	3	0	False	0.0	7	0.0	0.0	0.0	0.0	0.0
k141_19116631__full-cat_2	2	False	False	6	2	0	False	0.16666666666666666	5	1.0	0.0	0.0	0.0	0.0
k141_19125270__full-cat_2	2	False	False	5	0	0	False	0.2	4	1.0	0.0	0.0	0.0	0.0
k141_19127347__full-cat_2	2	False	False	8	1	0	False	0.0	7	0.0	1.0	0.0	0.0	0.0
k141_19142173__full-cat_2	2	False	False	5	2	0	False	0.0	5	0.0	0.0	0.0	0.0	0.0
k141_19152177__full-cat_2	2	False	False	6	0	0	False	0.0	6	0.0	0.0	0.0	0.0	0.0
k141_19169207__full-cat_2	2	False	False	4	3	0	False	0.0	4	0.0	0.0	0.0	0.0	0.0
k141_19180662__full-cat_1	1	False	False	8	0	0	False	0.0	4	3.0	0.0	0.0	1.0	0.0
k141_19194073__full-cat_2	2	False	False	23	0	0	False	0.0	23	0.0	0.0	0.0	0.0	0.0
k141_19202351__full-cat_2	2	False	False	20	6	1	False	0.05	18	1.0	1.0	0.0	0.0	0.0
k141_19204374__full-cat_2	2	False	False	6	1	0	False	0.0	5	0.0	0.0	1.0	0.0	0.0
k141_19206766__full-cat_2	2	False	False	7	3	0	False	0.0	7	0.0	0.0	0.0	0.0	0.0
k141_19209038__full-cat_2	2	False	False	14	2	0	False	0.0	12	0.0	1.0	0.0	1.0	0.0
k141_19218984__full-cat_2	2	False	False	4	0	0	False	0.0	4	0.0	0.0	0.0	0.0	0.0
k141_19223748__full-cat_1	1	False	False	8	2	0	False	0.0	6	0.0	2.0	0.0	0.0	0.0
k141_19233899__full-cat_2	2	False	False	8	4	0	False	0.0	8	0.0	0.0	0.0	0.0	0.0
k141_19238972__full-cat_2	2	False	False	8	3	0	False	0.0	8	0.0	0.0	0.0	0.0	0.0
k141_19243724__full-cat_2	2	False	False	5	2	0	False	0.0	5	0.0	0.0	0.0	0.0	0.0
k141_19246864__full-cat_1	1	False	False	4	0	0	False	0.0	2	0.0	2.0	0.0	0.0	0.0
k141_19251200__full-cat_2	2	False	False	7	0	1	False	0.14285714285714285	6	1.0	0.0	0.0	0.0	0.0
k141_19254516__full-cat_2	2	False	False	15	0	0	False	0.0	15	0.0	0.0	0.0	0.0	0.0
k141_19272365__full-cat_2	2	False	False	6	1	0	False	0.0	6	0.0	0.0	0.0	0.0	0.0
k141_19292144__full-cat_2	2	False	False	4	0	0	False	0.0	4	0.0	0.0	0.0	0.0	0.0
k141_19305932__full-cat_2	2	False	False	8	0	0	False	0.125	7	1.0	0.0	0.0	0.0	0.0
k141_19331239__full-cat_2	2	False	False	7	2	0	False	0.0	7	0.0	0.0	0.0	0.0	0.0
k141_19331711__full-cat_1	1	False	False	5	0	0	False	0.0	3	0.0	2.0	0.0	0.0	0.0
k141_19335670__full-cat_2	2	False	False	31	5	0	False	0.0	28	0.0	3.0	0.0	0.0	0.0
k141_19395309__full-cat_1	1	False	False	16	4	0	False	0.0	15	0.0	1.0	0.0	0.0	0.0
k141_19398876__full-cat_2	2	False	False	11	4	0	False	0.0	11	0.0	0.0	0.0	0.0	0.0
k141_20522925__full-cat_2	2	False	False	7	0	0	False	0.0	6	0.0	0.0	0.0	1.0	0.0
k141_20525107__full-cat_2	2	False	False	3	1	0	False	0.0	3	0.0	0.0	0.0	0.0	0.0
k141_20538986__full-cat_2	2	False	False	6	1	1	False	0.16666666666666666	4	1.0	1.0	0.0	0.0	0.0
k141_20545401__full-cat_2	2	False	False	6	0	0	False	0.0	6	0.0	0.0	0.0	0.0	0.0
k141_20545632__full-cat_1	1	False	False	8	0	0	False	0.0	7	0.0	0.0	0.0	1.0	0.0
k141_20549835__full-cat_2	2	False	False	13	5	0	False	0.07692307692307693	12	1.0	0.0	0.0	0.0	0.0
k141_20550528__full-cat_2	2	False	False	20	1	2	False	0.0	18	0.0	2.0	0.0	0.0	0.0
k141_20558104__full-cat_2	2	False	False	11	5	0	False	0.0	11	0.0	0.0	0.0	0.0	0.0
k141_20564609__full-cat_2	2	False	False	4	2	0	False	0.25	2	1.0	1.0	0.0	0.0	0.0
k141_20595862__full-cat_2	2	False	False	27	0	0	False	0.07407407407407407	25	2.0	0.0	0.0	0.0	0.0
k141_20604662__full-cat_2	2	False	False	8	2	0	False	0.0	8	0.0	0.0	0.0	0.0	0.0
k141_20604943__full-cat_2	2	False	False	8	2	0	False	0.0	7	0.0	1.0	0.0	0.0	0.0
k141_20605056__full-cat_2	2	False	False	8	2	0	False	0.0	8	0.0	0.0	0.0	0.0	0.0
k141_20613425__full-cat_2	2	False	False	4	2	0	False	0.0	3	0.0	1.0	0.0	0.0	0.0
k141_20618445__full-cat_2	2	False	False	10	3	0	False	0.1	8	1.0	0.0	0.0	1.0	0.0
k141_20622891__full-cat_2	2	False	False	8	2	0	False	0.0	8	0.0	0.0	0.0	0.0	0.0
k141_20628762__full-cat_2	2	False	False	9	4	0	False	0.0	9	0.0	0.0	0.0	0.0	0.0
k141_20652422__full-cat_2	2	False	False	10	3	0	False	0.1	9	1.0	0.0	0.0	0.0	0.0
k141_20658157__full-cat_2	2	False	False	5	1	0	False	0.0	5	0.0	0.0	0.0	0.0	0.0
k141_20665037__full-cat_2	2	False	False	18	0	0	False	0.05555555555555555	12	1.0	2.0	1.0	2.0	0.0
k141_20676997__full-cat_1	1	False	False	22	3	0	False	0.0	21	0.0	0.0	0.0	1.0	0.0
k141_20686250__full-cat_1	1	False	False	30	1	0	False	0.03333333333333333	27	1.0	2.0	0.0	0.0	0.0
k141_20708523__full-cat_2	2	False	False	6	1	0	True	0.0	6	0.0	0.0	0.0	0.0	0.0
k141_20720718__full-cat_2	2	False	False	20	0	0	False	0.0	19	0.0	1.0	0.0	0.0	0.0
k141_20736845__full-cat_2	2	False	False	14	4	1	False	0.07142857142857142	12	1.0	0.0	0.0	1.0	0.0
k141_20739380__full-cat_2	2	False	False	10	2	0	False	0.1	8	1.0	1.0	0.0	0.0	0.0
k141_20742828__full-cat_2	2	False	False	5	1	0	False	0.0	4	0.0	1.0	0.0	0.0	0.0
k141_20753181__full-cat_2	2	False	False	8	4	0	False	0.0	7	0.0	1.0	0.0	0.0	0.0
k141_20763846__full-cat_1	1	False	False	11	1	0	False	0.0	9	1.0	0.0	0.0	1.0	0.0
k141_20772813__full-cat_2	2	False	False	10	2	0	False	0.0	10	0.0	0.0	0.0	0.0	0.0
k141_20780053__full-cat_2	2	False	False	21	5	0	False	0.0	20	0.0	0.0	0.0	1.0	0.0
k141_20781380__full-cat_2	2	False	False	6	0	0	False	0.0	5	0.0	0.0	0.0	1.0	0.0
k141_20782318__full-cat_2	2	False	False	7	3	0	False	0.0	7	0.0	0.0	0.0	0.0	0.0
k141_21856474__full-cat_2	2	False	False	19	5	0	False	0.0	17	0.0	0.0	0.0	2.0	0.0
k141_21861913__full-cat_2	2	False	False	27	5	0	False	0.0	22	0.0	4.0	0.0	1.0	0.0
k141_21864976__full-cat_2	2	False	False	4	1	0	False	0.0	3	0.0	0.0	0.0	1.0	0.0
k141_21865644__full-cat_1	1	False	False	7	0	0	False	0.0	6	0.0	0.0	0.0	1.0	0.0
k141_21869761__full-cat_2	2	False	False	5	2	0	False	0.0	5	0.0	0.0	0.0	0.0	0.0
k141_21869843__full-cat_2	2	False	False	5	2	0	False	0.0	5	0.0	0.0	0.0	0.0	0.0
k141_21872190__full-cat_2	2	False	False	4	1	0	False	0.25	3	1.0	0.0	0.0	0.0	0.0
k141_21875962__full-cat_2	2	False	False	6	1	0	False	0.3333333333333333	3	2.0	1.0	0.0	0.0	0.0
k141_21888634__full-cat_2	2	False	False	12	2	0	False	0.0	6	0.0	5.0	0.0	1.0	0.0
k141_21906398__full-cat_1	1	False	False	10	0	0	False	0.0	7	0.0	1.0	0.0	2.0	0.0
k141_21920181__full-cat_2	2	False	False	3	1	0	False	0.0	3	0.0	0.0	0.0	0.0	0.0
k141_21933142__full-cat_1	1	False	False	8	5	0	False	0.0	8	0.0	0.0	0.0	0.0	0.0
k141_21940945__full-cat_2	2	False	False	9	3	0	False	0.2222222222222222	7	2.0	0.0	0.0	0.0	0.0
k141_21961636__full-cat_2	2	False	False	8	4	0	False	0.0	6	1.0	1.0	0.0	0.0	0.0
k141_21964129__full-cat_1	1	False	False	7	2	0	False	0.0	5	0.0	1.0	0.0	1.0	0.0
k141_21972724__full-cat_1	1	False	False	7	3	0	False	0.0	7	0.0	0.0	0.0	0.0	0.0
k141_21979169__full-cat_2	2	False	False	6	2	0	False	0.3333333333333333	4	2.0	0.0	0.0	0.0	0.0
k141_21989872__full-cat_2	2	False	False	7	2	0	False	0.0	6	0.0	1.0	0.0	0.0	0.0
k141_21991626__full-cat_1	1	False	False	7	0	0	False	0.0	2	1.0	2.0	0.0	1.0	1.0
k141_22002298__full-cat_2	2	False	False	10	2	0	False	0.0	9	0.0	1.0	0.0	0.0	0.0
k141_22007620__full-cat_2	2	False	False	6	2	0	False	0.0	6	0.0	0.0	0.0	0.0	0.0
k141_22010195__full-cat_2	2	False	False	14	2	0	False	0.0	14	0.0	0.0	0.0	0.0	0.0
k141_22015844__full-cat_2	2	False	False	8	6	0	False	0.125	7	1.0	0.0	0.0	0.0	0.0
k141_22018249__full-cat_2	2	False	False	6	0	0	False	0.16666666666666666	5	1.0	0.0	0.0	0.0	0.0
k141_22024138__full-cat_2	2	False	False	13	0	0	False	0.0	9	0.0	1.0	0.0	3.0	0.0
k141_22024455__full-cat_2	2	False	False	14	0	0	False	0.0	9	0.0	2.0	2.0	1.0	0.0
k141_22035181__full-cat_1	1	False	False	40	3	0	False	0.0	33	0.0	3.0	0.0	3.0	1.0
k141_22044049__full-cat_2	2	False	False	8	2	0	False	0.0	6	0.0	1.0	0.0	1.0	0.0
k141_22054633__full-cat_2	2	False	False	6	1	0	False	0.16666666666666666	4	1.0	1.0	0.0	0.0	0.0
k141_22054835__full-cat_2	2	False	False	23	3	0	False	0.0	21	0.0	1.0	0.0	1.0	0.0
k141_22055313__full-cat_2	2	False	False	8	1	0	False	0.0	8	0.0	0.0	0.0	0.0	0.0
k141_22060755__full-cat_2	2	False	False	19	2	0	False	0.0	15	0.0	3.0	0.0	1.0	0.0
k141_22065289__full-cat_1	1	False	False	21	0	0	False	0.047619047619047616	15	3.0	1.0	0.0	1.0	1.0
k141_22065713__full-cat_2	2	False	False	5	2	0	False	0.0	5	0.0	0.0	0.0	0.0	0.0
k141_22066817__full-cat_2	2	False	False	4	2	0	False	0.0	4	0.0	0.0	0.0	0.0	0.0
k141_22083174__full-cat_2	2	False	False	6	4	0	False	0.16666666666666666	4	1.0	0.0	0.0	1.0	0.0
k141_22086495__full-cat_2	2	False	False	6	1	0	False	0.16666666666666666	5	1.0	0.0	0.0	0.0	0.0
k141_22104250__full-cat_2	2	False	False	9	3	0	False	0.0	8	0.0	0.0	0.0	1.0	0.0
k141_22112228__full-cat_1	1	False	False	6	0	0	False	0.0	2	0.0	3.0	0.0	0.0	1.0
k141_22118259__full-cat_2	2	False	False	7	1	0	False	0.0	7	0.0	0.0	0.0	0.0	0.0
k141_22133353__full-cat_1	1	False	False	19	1	0	False	0.0	19	0.0	0.0	0.0	0.0	0.0
k141_23239353__full-cat_1	1	False	False	15	4	0	False	0.0	14	0.0	0.0	0.0	0.0	1.0
k141_23253022__full-cat_2	2	False	False	3	0	0	False	0.0	3	0.0	0.0	0.0	0.0	0.0
k141_23257561__full-cat_1	1	False	False	18	1	0	False	0.05555555555555555	15	3.0	0.0	0.0	0.0	0.0
k141_23259514__full-cat_2	2	False	False	7	0	0	False	0.0	6	0.0	1.0	0.0	0.0	0.0
k141_23262186__full-cat_2	2	False	False	9	2	0	False	0.0	8	0.0	1.0	0.0	0.0	0.0
k141_23269601__full-cat_1	1	False	False	11	0	0	False	0.0	10	0.0	0.0	0.0	0.0	1.0
k141_23271462__full-cat_2	2	False	False	9	0	0	False	0.0	9	0.0	0.0	0.0	0.0	0.0
k141_23272081__full-cat_2	2	False	False	25	9	0	False	0.0	24	0.0	0.0	1.0	0.0	0.0
k141_23273933__full-cat_1	1	False	False	17	1	0	False	0.0	15	0.0	2.0	0.0	0.0	0.0
k141_23276840__full-cat_1	1	False	False	18	0	0	False	0.0	17	0.0	0.0	0.0	1.0	0.0
k141_23287779__full-cat_2	2	False	False	11	3	0	False	0.0	11	0.0	0.0	0.0	0.0	0.0
k141_23291147__full-cat_2	2	False	False	13	0	1	False	0.0	12	0.0	1.0	0.0	0.0	0.0
k141_23293420__full-cat_2	2	False	False	4	2	1	False	0.25	2	1.0	1.0	0.0	0.0	0.0
k141_23309808__full-cat_2	2	False	False	6	2	0	False	0.16666666666666666	5	1.0	0.0	0.0	0.0	0.0
k141_23310057__full-cat_2	2	False	False	9	7	0	False	0.0	9	0.0	0.0	0.0	0.0	0.0
k141_23313199__full-cat_2	2	False	False	6	3	0	False	0.0	6	0.0	0.0	0.0	0.0	0.0
k141_23313370__full-cat_2	2	False	False	8	4	0	False	0.0	8	0.0	0.0	0.0	0.0	0.0
k141_23322405__full-cat_2	2	False	False	6	4	0	False	0.0	6	0.0	0.0	0.0	0.0	0.0
k141_23327560__full-cat_2	2	False	False	6	1	0	False	0.3333333333333333	4	2.0	0.0	0.0	0.0	0.0
k141_23332990__full-cat_2	2	False	False	11	3	0	False	0.0	10	0.0	1.0	0.0	0.0	0.0
k141_23338335__full-cat_1	1	False	False	11	0	0	False	0.0	6	0.0	4.0	0.0	1.0	0.0
k141_23343706__full-cat_2	2	False	False	7	2	0	False	0.0	5	0.0	1.0	1.0	0.0	0.0
k141_23346552__full-cat_2	2	False	False	5	3	0	False	0.0	4	0.0	0.0	0.0	1.0	0.0
k141_23347040__full-cat_2	2	False	False	5	1	0	False	0.2	4	1.0	0.0	0.0	0.0	0.0
k141_23350194__full-cat_1	1	False	False	16	2	0	False	0.0	11	0.0	4.0	0.0	1.0	0.0
k141_23354872__full-cat_1	1	False	False	7	0	0	False	0.0	6	0.0	0.0	0.0	1.0	0.0
k141_23362316__full-cat_2	2	False	False	4	1	0	False	0.0	3	0.0	0.0	0.0	0.0	1.0
k141_23363396__full-cat_2	2	False	False	7	0	0	False	0.0	5	0.0	2.0	0.0	0.0	0.0
k141_23369434__full-cat_2	2	False	False	7	0	0	False	0.0	7	0.0	0.0	0.0	0.0	0.0
k141_23370222__full-cat_2	2	False	False	17	2	0	False	0.058823529411764705	16	1.0	0.0	0.0	0.0	0.0
k141_23370265__full-cat_1	1	False	False	11	1	0	False	0.0	10	0.0	0.0	1.0	0.0	0.0
k141_23391068__full-cat_2	2	False	False	20	9	0	False	0.0	18	0.0	0.0	0.0	2.0	0.0
k141_23398274__full-cat_1	1	False	False	24	2	0	False	0.0	21	0.0	2.0	1.0	0.0	0.0
k141_23407655__full-cat_2	2	False	False	6	1	0	False	0.16666666666666666	5	1.0	0.0	0.0	0.0	0.0
k141_23437494__full-cat_2	2	False	False	9	5	0	False	0.0	9	0.0	0.0	0.0	0.0	0.0
k141_23467723__full-cat_2	2	False	False	6	3	0	False	0.16666666666666666	5	1.0	0.0	0.0	0.0	0.0
k141_23472472__full-cat_2	2	False	False	7	4	0	False	0.0	7	0.0	0.0	0.0	0.0	0.0
k141_23501977__full-cat_2	2	False	False	5	1	0	False	0.0	5	0.0	0.0	0.0	0.0	0.0
k141_23503153__full-cat_2	2	False	False	12	4	0	False	0.08333333333333333	10	1.0	0.0	0.0	1.0	0.0
k141_23507605__full-cat_2	2	False	False	4	2	0	False	0.0	4	0.0	0.0	0.0	0.0	0.0
k141_23510058__full-cat_1	1	False	False	14	0	0	False	0.0	11	0.0	1.0	1.0	1.0	0.0
k141_23512324__full-cat_2	2	False	False	15	2	0	False	0.0	15	0.0	0.0	0.0	0.0	0.0
k141_23519356__full-cat_1	1	False	False	6	0	0	False	0.0	1	2.0	1.0	0.0	1.0	1.0
k141_23522229__full-cat_2	2	False	False	4	2	0	False	0.0	2	0.0	2.0	0.0	0.0	0.0
k141_23525429__full-cat_2	2	False	False	12	0	1	False	0.16666666666666666	10	2.0	0.0	0.0	0.0	0.0
k141_23533673__full-cat_1	1	False	False	33	2	0	False	0.0	29	1.0	2.0	0.0	1.0	0.0
k141_23534814__full-cat_1	1	False	False	9	0	0	False	0.0	3	2.0	3.0	1.0	0.0	0.0
k141_23535185__full-cat_1	1	False	False	21	0	0	False	0.0	13	3.0	2.0	0.0	3.0	0.0
k141_23538856__full-cat_1	1	False	False	11	1	0	True	0.0	9	0.0	0.0	0.0	2.0	0.0
k141_23540669__full-cat_2	2	False	False	7	1	0	False	0.0	7	0.0	0.0	0.0	0.0	0.0
k141_2423477__full-cat_1	1	False	False	12	1	0	False	0.0	10	1.0	1.0	0.0	0.0	0.0
k141_2439246__full-cat_2	2	False	False	6	2	0	False	0.0	6	0.0	0.0	0.0	0.0	0.0
k141_2445013__full-cat_1	1	False	False	7	0	0	False	0.0	4	1.0	0.0	0.0	2.0	0.0
k141_2453399__full-cat_2	2	False	False	10	1	0	False	0.0	10	0.0	0.0	0.0	0.0	0.0
k141_2453914__full-cat_2	2	False	False	6	2	0	False	0.0	6	0.0	0.0	0.0	0.0	0.0
k141_2458798__full-cat_1	1	False	False	9	1	0	False	0.0	6	0.0	2.0	0.0	1.0	0.0
k141_2460842__full-cat_2	2	False	False	6	2	0	False	0.0	5	0.0	0.0	0.0	1.0	0.0
k141_24632340__full-cat_2	2	False	False	5	1	0	False	0.0	5	0.0	0.0	0.0	0.0	0.0
k141_24640208__full-cat_2	2	False	False	14	2	0	False	0.07142857142857142	7	2.0	3.0	0.0	2.0	0.0
k141_24665369__full-cat_2	2	False	False	6	4	0	False	0.0	6	0.0	0.0	0.0	0.0	0.0
k141_24682850__full-cat_2	2	False	False	7	0	0	False	0.0	4	0.0	0.0	2.0	1.0	0.0
k141_24689006__full-cat_2	2	False	False	10	2	0	False	0.0	10	0.0	0.0	0.0	0.0	0.0
k141_24691991__full-cat_2	2	False	False	6	2	0	False	0.0	5	0.0	1.0	0.0	0.0	0.0
k141_24705184__full-cat_2	2	False	False	7	1	0	False	0.0	7	0.0	0.0	0.0	0.0	0.0
k141_24708048__full-cat_2	2	False	False	5	0	0	False	0.0	5	0.0	0.0	0.0	0.0	0.0
k141_2472813__full-cat_2	2	False	False	4	2	0	False	0.0	4	0.0	0.0	0.0	0.0	0.0
k141_24728264__full-cat_1	1	False	False	11	2	0	False	0.0	8	0.0	2.0	1.0	0.0	0.0
k141_2473857__full-cat_2	2	False	False	7	3	0	False	0.0	7	0.0	0.0	0.0	0.0	0.0
k141_24759526__full-cat_2	2	False	False	5	1	0	False	0.0	5	0.0	0.0	0.0	0.0	0.0
k141_24759600__full-cat_2	2	False	False	5	0	0	False	0.0	5	0.0	0.0	0.0	0.0	0.0
k141_24763580__full-cat_1	1	False	False	9	2	0	False	0.0	8	0.0	1.0	0.0	0.0	0.0
k141_24768060__full-cat_2	2	False	False	25	2	0	False	0.0	22	0.0	3.0	0.0	0.0	0.0
k141_24788448__full-cat_1	1	False	False	7	0	0	False	0.0	6	0.0	0.0	0.0	1.0	0.0
k141_24789508__full-cat_1	1	False	False	8	0	0	False	0.0	7	1.0	0.0	0.0	0.0	0.0
k141_24796096__full-cat_1	1	False	False	14	0	0	False	0.0	13	0.0	1.0	0.0	0.0	0.0
k141_24802257__full-cat_2	2	False	False	3	0	0	False	0.3333333333333333	2	1.0	0.0	0.0	0.0	0.0
k141_24813288__full-cat_2	2	False	False	8	6	0	False	0.0	7	0.0	1.0	0.0	0.0	0.0
k141_24816324__full-cat_2	2	False	False	5	0	0	False	0.0	5	0.0	0.0	0.0	0.0	0.0
k141_24828784__full-cat_2	2	False	False	13	0	0	False	0.0	13	0.0	0.0	0.0	0.0	0.0
k141_24839553__full-cat_2	2	False	False	21	3	1	False	0.047619047619047616	16	1.0	4.0	0.0	0.0	0.0
k141_24846857__full-cat_2	2	False	False	6	0	0	False	0.0	5	0.0	0.0	0.0	1.0	0.0
k141_24848833__full-cat_2	2	False	False	19	0	0	False	0.0	18	0.0	1.0	0.0	0.0	0.0
k141_2485095__full-cat_2	2	False	False	5	3	0	False	0.6	2	3.0	0.0	0.0	0.0	0.0
k141_24854141__full-cat_2	2	False	False	15	1	0	False	0.0	13	0.0	1.0	0.0	1.0	0.0
k141_24854605__full-cat_2	2	False	False	6	0	0	False	0.16666666666666666	5	1.0	0.0	0.0	0.0	0.0
k141_24873848__full-cat_2	2	False	False	6	1	0	False	0.0	6	0.0	0.0	0.0	0.0	0.0
k141_24882960__full-cat_2	2	False	False	10	0	0	False	0.0	10	0.0	0.0	0.0	0.0	0.0
k141_24886582__full-cat_2	2	False	False	4	1	0	False	0.0	3	0.0	1.0	0.0	0.0	0.0
k141_2489332__full-cat_1	1	False	False	6	0	0	False	0.0	5	0.0	1.0	0.0	0.0	0.0
k141_24898300__full-cat_2	2	False	False	18	0	0	False	0.05555555555555555	17	1.0	0.0	0.0	0.0	0.0
k141_24900025__full-cat_2	2	False	False	4	0	0	False	0.0	4	0.0	0.0	0.0	0.0	0.0
k141_24903472__full-cat_2	2	False	False	8	2	0	False	0.0	8	0.0	0.0	0.0	0.0	0.0
k141_2491584__full-cat_1	1	False	False	19	1	1	False	0.0	13	1.0	2.0	0.0	2.0	1.0
k141_24919658__full-cat_1	1	False	False	32	1	0	False	0.0	27	0.0	4.0	0.0	1.0	0.0
k141_2494776__full-cat_2	2	False	False	7	4	0	False	0.14285714285714285	6	1.0	0.0	0.0	0.0	0.0
k141_2495908__full-cat_2	2	False	False	5	2	0	False	0.0	5	0.0	0.0	0.0	0.0	0.0
k141_2497012__full-cat_2	2	False	False	13	0	0	False	0.07692307692307693	11	1.0	1.0	0.0	0.0	0.0
k141_2499879__full-cat_2	2	False	False	8	2	0	False	0.0	7	0.0	0.0	1.0	0.0	0.0
k141_2505968__full-cat_1	1	False	False	20	5	0	False	0.05	17	1.0	0.0	0.0	2.0	0.0
k141_2523796__full-cat_1	1	False	False	15	0	0	False	0.0	14	0.0	0.0	0.0	0.0	1.0
k141_2526731__full-cat_2	2	False	False	6	0	0	False	0.3333333333333333	4	2.0	0.0	0.0	0.0	0.0
k141_2530036__full-cat_2	2	False	False	7	1	0	False	0.14285714285714285	5	1.0	0.0	1.0	0.0	0.0
k141_2535645__full-cat_2	2	False	False	6	1	0	False	0.0	5	0.0	1.0	0.0	0.0	0.0
k141_2540147__full-cat_2	2	False	False	3	0	0	False	0.3333333333333333	1	1.0	0.0	1.0	0.0	0.0
k141_2555045__full-cat_1	1	False	False	15	2	0	False	0.0	12	1.0	1.0	0.0	1.0	0.0
k141_2556072__full-cat_2	2	False	False	5	0	0	False	0.0	5	0.0	0.0	0.0	0.0	0.0
k141_2559455__full-cat_1	1	False	False	20	2	0	False	0.0	19	0.0	0.0	0.0	1.0	0.0
k141_2574350__full-cat_2	2	False	False	5	1	0	False	0.0	5	0.0	0.0	0.0	0.0	0.0
k141_2578762__full-cat_2	2	False	False	28	1	0	False	0.0	23	0.0	4.0	0.0	1.0	0.0
k141_2578833__full-cat_1	1	False	False	6	0	0	False	0.0	5	0.0	1.0	0.0	0.0	0.0
k141_2591413__full-cat_2	2	False	False	12	1	0	False	0.0	12	0.0	0.0	0.0	0.0	0.0
k141_26010089__full-cat_2	2	False	False	6	2	0	False	0.3333333333333333	4	2.0	0.0	0.0	0.0	0.0
k141_2601856__full-cat_1	1	False	False	77	8	0	False	0.012987012987012988	61	1.0	9.0	0.0	6.0	0.0
k141_26021990__full-cat_2	2	False	False	4	3	0	False	0.0	4	0.0	0.0	0.0	0.0	0.0
k141_26025872__full-cat_2	2	False	False	5	1	0	False	0.0	5	0.0	0.0	0.0	0.0	0.0
k141_26030258__full-cat_2	2	False	False	6	3	0	False	0.0	2	0.0	4.0	0.0	0.0	0.0
k141_26031584__full-cat_2	2	False	False	6	3	0	False	0.0	5	0.0	1.0	0.0	0.0	0.0
k141_26040228__full-cat_1	1	False	False	11	2	0	False	0.0	9	0.0	0.0	0.0	2.0	0.0
k141_2604236__full-cat_2	2	False	False	7	2	0	False	0.0	7	0.0	0.0	0.0	0.0	0.0
k141_26047043__full-cat_2	2	False	False	6	1	2	False	0.0	4	0.0	2.0	0.0	0.0	0.0
k141_26047919__full-cat_2	2	False	False	6	1	0	False	0.16666666666666666	4	1.0	0.0	0.0	1.0	0.0
k141_26055299__full-cat_2	2	False	False	4	0	0	False	0.0	4	0.0	0.0	0.0	0.0	0.0
k141_26055752__full-cat_2	2	False	False	5	2	0	False	0.2	4	1.0	0.0	0.0	0.0	0.0
