	VIRSorter category	Circular	Prophage	Gene count	Strand switches	potential AMG count	Transposase present	Possible Non-Viral Contig	Viral genes with host benefits	Viral hypothetical genes	Viral genes with unknown function	Viral replication genes	Viral structure genes	Viral genes with viral benefits
k141_19222282__full-cat_2	2	False	False	14	0	0	False	0.0	0.0	13	1.0	0.0	0.0	0.0
k141_19239255__full-cat_2	2	False	False	14	0	0	False	0.0	0.0	13	0.0	0.0	1.0	0.0
k141_19241727__full-cat_2	2	False	False	9	0	0	False	0.0	0.0	9	0.0	0.0	0.0	0.0
k141_19250799__full-cat_2	2	False	False	23	4	0	False	0.0	0.0	23	0.0	0.0	0.0	0.0
k141_19252654__full-cat_1	1	False	False	7	1	0	False	0.0	0.0	6	0.0	0.0	1.0	0.0
k141_19264685__full-cat_2	2	False	False	3	0	0	False	0.0	0.0	3	0.0	0.0	0.0	0.0
k141_19275183__full-cat_2	2	False	False	17	0	0	False	0.0	0.0	16	1.0	0.0	0.0	0.0
k141_19324600__full-cat_2	2	False	False	3	0	0	False	0.0	0.0	3	0.0	0.0	0.0	0.0
k141_19347627__full-cat_1	1	False	False	5	0	0	False	0.2	1.0	3	0.0	1.0	0.0	0.0
k141_19376938__full-cat_2	2	False	False	5	1	0	False	0.0	0.0	4	1.0	0.0	0.0	0.0
k141_19377811__full-cat_2	2	False	False	15	0	0	False	0.06666666666666667	1.0	11	3.0	0.0	0.0	0.0
k141_1991790__full-cat_2	2	False	False	18	0	0	False	0.05555555555555555	1.0	17	0.0	0.0	0.0	0.0
k141_1997597__full-cat_2	2	False	False	5	1	0	False	0.0	0.0	5	0.0	0.0	0.0	0.0
k141_2006560__full-cat_1	1	False	False	12	0	0	False	0.08333333333333333	1.0	9	1.0	0.0	0.0	1.0
k141_2010251__full-cat_2	2	False	False	8	4	0	False	0.25	2.0	5	1.0	0.0	0.0	0.0
k141_20255625__full-cat_2	2	False	False	9	6	0	True	0.0	0.0	7	0.0	1.0	1.0	0.0
k141_20287027__full-cat_2	2	False	False	19	0	0	False	0.0	0.0	18	1.0	0.0	0.0	0.0
k141_20293369__full-cat_2	2	False	False	4	1	0	False	0.0	0.0	4	0.0	0.0	0.0	0.0
k141_20319607__full-cat_2	2	False	False	29	0	0	False	0.0	0.0	26	3.0	0.0	0.0	0.0
k141_20367387__full-cat_1	1	False	False	12	1	0	False	0.08333333333333333	1.0	8	0.0	3.0	0.0	0.0
k141_20375280__full-cat_1	1	False	False	17	1	0	False	0.0	0.0	15	1.0	1.0	0.0	0.0
k141_20396087__full-cat_1	1	False	False	16	4	0	False	0.0	0.0	15	1.0	0.0	0.0	0.0
k141_20400532__full-cat_1	1	False	False	26	0	1	False	0.0	0.0	21	3.0	0.0	0.0	2.0
k141_20414720__full-cat_2	2	False	False	26	0	1	False	0.038461538461538464	1.0	21	2.0	2.0	0.0	0.0
k141_20415128__full-cat_1	1	False	False	19	1	0	False	0.0	0.0	18	1.0	0.0	0.0	0.0
k141_20420678__full-cat_2	2	False	False	6	2	0	False	0.0	0.0	5	1.0	0.0	0.0	0.0
k141_20425346__full-cat_2	2	False	False	6	2	0	False	0.0	0.0	5	1.0	0.0	0.0	0.0
k141_20446365__full-cat_2	2	False	False	7	1	0	False	0.0	0.0	7	0.0	0.0	0.0	0.0
k141_20446813__full-cat_2	2	False	False	11	1	0	False	0.0	0.0	11	0.0	0.0	0.0	0.0
k141_20446870__full-cat_2	2	False	False	8	1	0	False	0.0	0.0	6	2.0	0.0	0.0	0.0
k141_20449518__full-cat_2	2	False	False	4	2	0	True	0.0	0.0	3	0.0	1.0	0.0	0.0
k141_20456927__full-cat_2	2	False	False	5	2	0	False	0.0	0.0	5	0.0	0.0	0.0	0.0
k141_20473051__full-cat_2	2	False	False	15	0	0	False	0.0	0.0	12	1.0	1.0	0.0	1.0
k141_20473073__full-cat_2	2	False	False	7	1	0	False	0.14285714285714285	1.0	2	4.0	0.0	0.0	0.0
k141_20476103__full-cat_1	1	False	False	6	0	0	False	0.0	0.0	6	0.0	0.0	0.0	0.0
k141_20478433__full-cat_2	2	False	False	11	3	0	False	0.09090909090909091	1.0	10	0.0	0.0	0.0	0.0
k141_20478717__full-cat_1	1	False	False	20	0	0	False	0.0	0.0	19	0.0	1.0	0.0	0.0
k141_2048584__full-cat_2	2	False	False	14	1	0	False	0.07142857142857142	1.0	9	3.0	0.0	0.0	1.0
k141_20486052__full-cat_2	2	False	False	5	2	0	False	0.0	0.0	3	2.0	0.0	0.0	0.0
k141_20495459__full-cat_2	2	False	False	8	0	2	False	0.375	3.0	5	0.0	0.0	0.0	0.0
k141_20495574__full-cat_2	2	False	False	4	1	0	False	0.0	0.0	4	0.0	0.0	0.0	0.0
k141_20505518__full-cat_1	1	False	False	10	1	0	False	0.0	0.0	10	0.0	0.0	0.0	0.0
k141_20506459__full-cat_2	2	False	False	4	1	0	False	0.0	0.0	4	0.0	0.0	0.0	0.0
k141_20509850__full-cat_1	1	False	False	15	1	0	False	0.06666666666666667	1.0	12	2.0	0.0	0.0	0.0
k141_20583876__full-cat_2	2	False	False	6	0	0	False	0.0	0.0	6	0.0	0.0	0.0	0.0
k141_20592460__full-cat_1	1	False	False	18	0	0	False	0.0	0.0	17	0.0	1.0	0.0	0.0
k141_20597026__full-cat_2	2	False	False	9	2	0	False	0.0	0.0	8	0.0	1.0	0.0	0.0
k141_20601969__full-cat_2	2	False	False	5	0	0	False	0.0	0.0	5	0.0	0.0	0.0	0.0
k141_20627497__full-cat_2	2	False	False	5	4	0	False	0.2	1.0	2	1.0	0.0	0.0	1.0
k141_20635428__full-cat_2	2	False	False	14	1	0	False	0.0	0.0	14	0.0	0.0	0.0	0.0
k141_20637974__full-cat_2	2	False	False	13	1	0	False	0.0	0.0	12	1.0	0.0	0.0	0.0
k141_20649752__full-cat_2	2	False	False	8	1	0	False	0.0	0.0	7	1.0	0.0	0.0	0.0
k141_20693417__full-cat_2	2	False	False	8	3	0	False	0.0	0.0	7	1.0	0.0	0.0	0.0
k141_20716652__full-cat_2	2	False	False	3	0	0	False	0.0	0.0	3	0.0	0.0	0.0	0.0
k141_20741235__full-cat_2	2	False	False	9	2	0	False	0.1111111111111111	1.0	8	0.0	0.0	0.0	0.0
k141_20754483__full-cat_2	2	False	False	4	2	0	False	0.0	0.0	4	0.0	0.0	0.0	0.0
k141_20764502__full-cat_2	2	False	False	15	1	0	False	0.0	0.0	14	1.0	0.0	0.0	0.0
k141_20764769__full-cat_2	2	False	False	6	2	0	False	0.0	0.0	6	0.0	0.0	0.0	0.0
k141_20773986__full-cat_1	1	False	False	15	0	1	False	0.06666666666666667	1.0	13	1.0	0.0	0.0	0.0
k141_20782518__full-cat_1	1	False	False	6	0	0	False	0.0	0.0	6	0.0	0.0	0.0	0.0
k141_20811340__full-cat_2	2	False	False	6	0	0	False	0.0	0.0	6	0.0	0.0	0.0	0.0
k141_20823387__full-cat_2	2	False	False	7	1	0	False	0.0	0.0	5	2.0	0.0	0.0	0.0
k141_20829279__full-cat_1	1	False	False	12	1	0	False	0.0	0.0	11	1.0	0.0	0.0	0.0
k141_20835720__full-cat_1	1	False	False	9	0	0	False	0.0	0.0	9	0.0	0.0	0.0	0.0
k141_20837154__full-cat_2	2	False	False	11	2	0	False	0.0	0.0	11	0.0	0.0	0.0	0.0
k141_20839124__full-cat_2	2	False	False	7	0	0	False	0.0	0.0	7	0.0	0.0	0.0	0.0
k141_20841453__full-cat_1	1	False	False	14	0	0	False	0.0	0.0	13	0.0	1.0	0.0	0.0
k141_20856320__full-cat_2	2	False	False	8	0	0	False	0.0	0.0	8	0.0	0.0	0.0	0.0
k141_20899168__full-cat_1	1	False	False	8	1	0	False	0.0	0.0	6	1.0	0.0	0.0	1.0
k141_20918170__full-cat_1	1	False	False	26	0	0	False	0.038461538461538464	1.0	22	3.0	0.0	0.0	0.0
k141_2092076__full-cat_2	2	False	False	11	1	0	False	0.0	0.0	9	2.0	0.0	0.0	0.0
k141_2092189__full-cat_2	2	False	False	6	3	0	False	0.0	0.0	6	0.0	0.0	0.0	0.0
k141_20931377__full-cat_2	2	False	False	9	2	0	False	0.1111111111111111	1.0	8	0.0	0.0	0.0	0.0
k141_2093579__full-cat_2	2	False	False	11	2	0	True	0.09090909090909091	1.0	8	1.0	1.0	0.0	0.0
k141_20964255__full-cat_2	2	False	False	7	3	0	False	0.0	0.0	7	0.0	0.0	0.0	0.0
k141_20967632__full-cat_1	1	False	False	2	1	0	False	0.0	0.0	2	0.0	0.0	0.0	0.0
k141_2111549__full-cat_2	2	False	False	17	0	0	False	0.058823529411764705	1.0	11	3.0	0.0	0.0	2.0
k141_2115455__full-cat_2	2	False	False	7	2	0	False	0.0	0.0	6	1.0	0.0	0.0	0.0
k141_2132151__full-cat_2	2	False	False	14	0	0	False	0.0	0.0	14	0.0	0.0	0.0	0.0
k141_2134091__full-cat_2	2	False	False	6	4	0	False	0.0	0.0	6	0.0	0.0	0.0	0.0
k141_2136630__full-cat_2	2	False	False	3	1	0	False	0.0	0.0	2	1.0	0.0	0.0	0.0
k141_2142357__full-cat_2	2	False	False	5	3	0	False	0.2	1.0	4	0.0	0.0	0.0	0.0
k141_2149859__full-cat_1	1	False	False	8	0	0	False	0.125	1.0	6	1.0	0.0	0.0	0.0
k141_2165621__full-cat_1	1	False	False	7	0	0	False	0.0	0.0	7	0.0	0.0	0.0	0.0
k141_21758117__full-cat_2	2	False	False	5	0	0	False	0.2	1.0	4	0.0	0.0	0.0	0.0
k141_2175929__full-cat_2	2	False	False	15	0	0	False	0.0	0.0	14	1.0	0.0	0.0	0.0
k141_21787445__full-cat_1	1	False	False	4	0	0	False	0.0	0.0	4	0.0	0.0	0.0	0.0
k141_21802795__full-cat_2	2	False	False	6	1	0	False	0.0	0.0	5	1.0	0.0	0.0	0.0
k141_21825564__full-cat_2	2	False	False	9	3	0	False	0.0	0.0	9	0.0	0.0	0.0	0.0
k141_21829357__full-cat_2	2	False	False	8	4	0	False	0.0	0.0	8	0.0	0.0	0.0	0.0
k141_21830024__full-cat_2	2	False	False	8	3	0	False	0.0	0.0	8	0.0	0.0	0.0	0.0
k141_21846238__full-cat_2	2	False	False	16	0	0	False	0.25	4.0	11	0.0	1.0	0.0	0.0
k141_21937293__full-cat_2	2	False	False	10	0	0	False	0.0	0.0	9	0.0	0.0	0.0	1.0
k141_21942776__full-cat_2	2	False	False	18	0	0	False	0.0	0.0	11	4.0	3.0	0.0	0.0
k141_2194347__full-cat_2	2	False	False	11	0	0	False	0.0	0.0	9	1.0	0.0	1.0	0.0
k141_21945035__full-cat_2	2	False	False	4	1	0	False	0.0	0.0	4	0.0	0.0	0.0	0.0
k141_21958311__full-cat_1	1	False	False	9	0	0	False	0.0	0.0	7	0.0	1.0	0.0	1.0
k141_21972395__full-cat_2	2	False	False	6	0	0	False	0.16666666666666666	1.0	5	0.0	0.0	0.0	0.0
k141_21979728__full-cat_2	2	False	False	7	1	0	False	0.14285714285714285	1.0	6	0.0	0.0	0.0	0.0
k141_21990781__full-cat_2	2	False	False	6	0	0	False	0.0	0.0	6	0.0	0.0	0.0	0.0
k141_21998975__full-cat_2	2	False	False	8	1	0	False	0.125	1.0	6	0.0	1.0	0.0	0.0
k141_22010460__full-cat_2	2	False	False	13	0	0	False	0.0	0.0	13	0.0	0.0	0.0	0.0
k141_22027373__full-cat_1	1	False	False	11	0	0	False	0.0	0.0	10	0.0	1.0	0.0	0.0
k141_22029052__full-cat_2	2	False	False	4	1	0	False	0.25	1.0	3	0.0	0.0	0.0	0.0
k141_22033226__full-cat_1	1	False	False	8	1	0	False	0.0	0.0	8	0.0	0.0	0.0	0.0
k141_22056680__full-cat_2	2	False	False	5	1	0	False	0.0	0.0	5	0.0	0.0	0.0	0.0
k141_22056978__full-cat_2	2	False	False	9	4	0	False	0.0	0.0	9	0.0	0.0	0.0	0.0
k141_22072413__full-cat_2	2	False	False	8	0	0	False	0.0	0.0	7	0.0	0.0	0.0	1.0
k141_22083683__full-cat_2	2	False	False	6	2	0	False	0.0	0.0	6	0.0	0.0	0.0	0.0
k141_22089165__full-cat_2	2	False	False	7	2	1	False	0.14285714285714285	1.0	6	0.0	0.0	0.0	0.0
k141_22094812__full-cat_2	2	False	False	8	0	0	False	0.375	3.0	5	0.0	0.0	0.0	0.0
k141_22105491__full-cat_1	1	False	False	19	0	0	False	0.05263157894736842	1.0	18	0.0	0.0	0.0	0.0
k141_22139915__full-cat_1	1	False	False	8	0	0	False	0.0	0.0	6	2.0	0.0	0.0	0.0
k141_22142801__full-cat_2	2	False	False	5	2	0	False	0.0	0.0	4	0.0	0.0	0.0	1.0
k141_22146901__full-cat_2	2	False	False	6	0	0	False	0.0	0.0	5	1.0	0.0	0.0	0.0
k141_22158078__full-cat_2	2	False	False	8	2	2	False	0.0	0.0	5	3.0	0.0	0.0	0.0
k141_22161656__full-cat_1	1	False	False	12	0	0	False	0.0	0.0	12	0.0	0.0	0.0	0.0
k141_2216716__full-cat_2	2	False	False	4	0	0	False	0.25	1.0	3	0.0	0.0	0.0	0.0
k141_22167387__full-cat_2	2	False	False	8	1	0	False	0.25	2.0	5	0.0	1.0	0.0	0.0
k141_22187357__full-cat_2	2	False	False	8	4	0	False	0.0	0.0	7	0.0	1.0	0.0	0.0
k141_22209924__full-cat_1	1	False	False	15	1	0	False	0.0	0.0	13	0.0	1.0	0.0	1.0
k141_22230012__full-cat_2	2	False	False	6	2	0	False	0.0	0.0	4	1.0	1.0	0.0	0.0
k141_22247391__full-cat_1	1	False	False	6	0	0	False	0.0	0.0	3	2.0	0.0	0.0	1.0
k141_22249940__full-cat_1	1	False	False	9	0	0	False	0.0	0.0	9	0.0	0.0	0.0	0.0
k141_2225028__full-cat_2	2	False	False	12	0	0	False	0.0	0.0	10	1.0	1.0	0.0	0.0
k141_22263030__full-cat_1	1	False	False	8	0	0	False	0.0	0.0	8	0.0	0.0	0.0	0.0
k141_22269516__full-cat_2	2	False	False	8	0	0	False	0.0	0.0	8	0.0	0.0	0.0	0.0
k141_2229277__full-cat_1	1	False	False	12	0	0	False	0.0	0.0	10	0.0	1.0	0.0	1.0
k141_22307216__full-cat_2	2	False	False	6	2	0	False	0.16666666666666666	1.0	5	0.0	0.0	0.0	0.0
k141_22333869__full-cat_2	2	False	False	9	4	0	False	0.1111111111111111	1.0	8	0.0	0.0	0.0	0.0
k141_22337409__full-cat_2	2	False	False	7	2	0	False	0.0	0.0	6	1.0	0.0	0.0	0.0
k141_22346805__full-cat_1	1	False	False	18	0	1	False	0.05555555555555555	1.0	12	3.0	0.0	2.0	0.0
k141_22363807__full-cat_2	2	False	False	5	1	0	False	0.2	1.0	3	1.0	0.0	0.0	0.0
k141_22369139__full-cat_1	1	False	False	42	2	0	False	0.0	0.0	39	0.0	2.0	0.0	1.0
k141_22382672__full-cat_2	2	False	False	20	4	0	False	0.0	0.0	18	1.0	0.0	1.0	0.0
k141_2241457__full-cat_2	2	False	False	8	3	0	False	0.125	1.0	7	0.0	0.0	0.0	0.0
k141_2246510__full-cat_2	2	False	False	8	3	0	False	0.125	1.0	7	0.0	0.0	0.0	0.0
k141_2254653__full-cat_2	2	False	False	15	2	0	False	0.0	0.0	14	1.0	0.0	0.0	0.0
k141_2273577__full-cat_1	1	False	False	11	1	0	False	0.0	0.0	10	1.0	0.0	0.0	0.0
k141_2292609__full-cat_2	2	False	False	7	1	0	False	0.14285714285714285	1.0	6	0.0	0.0	0.0	0.0
k141_2294211__full-cat_1	1	False	False	14	0	0	False	0.0	0.0	13	1.0	0.0	0.0	0.0
k141_2297983__full-cat_2	2	False	False	12	0	0	False	0.0	0.0	12	0.0	0.0	0.0	0.0
k141_2309562__full-cat_2	2	False	False	8	2	0	False	0.0	0.0	8	0.0	0.0	0.0	0.0
k141_23287853__full-cat_2	2	False	False	24	0	0	False	0.0	0.0	23	1.0	0.0	0.0	0.0
k141_23288402__full-cat_1	1	False	False	5	0	0	False	0.0	0.0	4	0.0	0.0	1.0	0.0
k141_23294734__full-cat_2	2	False	False	9	4	0	False	0.0	0.0	9	0.0	0.0	0.0	0.0
k141_23299960__full-cat_2	2	False	False	13	4	2	False	0.07692307692307693	1.0	11	1.0	0.0	0.0	0.0
k141_23322355__full-cat_2	2	False	False	14	0	0	False	0.07142857142857142	1.0	10	0.0	1.0	0.0	2.0
k141_23329367__full-cat_1	1	False	False	9	0	0	False	0.0	0.0	9	0.0	0.0	0.0	0.0
k141_23337524__full-cat_2	2	False	False	14	0	0	False	0.0	0.0	14	0.0	0.0	0.0	0.0
k141_23343117__full-cat_2	2	False	False	11	0	0	False	0.0	0.0	10	1.0	0.0	0.0	0.0
k141_23356218__full-cat_2	2	False	False	7	3	0	False	0.0	0.0	6	1.0	0.0	0.0	0.0
k141_23376973__full-cat_1	1	False	False	18	0	0	False	0.0	0.0	15	2.0	0.0	1.0	0.0
k141_23379099__full-cat_1	1	False	False	22	2	0	False	0.0	0.0	17	1.0	3.0	0.0	1.0
k141_23389677__full-cat_2	2	False	False	7	3	0	False	0.14285714285714285	1.0	6	0.0	0.0	0.0	0.0
k141_23420895__full-cat_1	1	False	False	10	1	0	False	0.0	0.0	9	0.0	1.0	0.0	0.0
k141_23435801__full-cat_1	1	False	False	6	2	0	False	0.0	0.0	6	0.0	0.0	0.0	0.0
k141_23451420__full-cat_2	2	False	False	6	1	0	False	0.0	0.0	5	1.0	0.0	0.0	0.0
k141_23460567__full-cat_2	2	False	False	24	0	0	False	0.0	0.0	24	0.0	0.0	0.0	0.0
k141_23488195__full-cat_2	2	False	False	18	2	0	False	0.0	0.0	16	1.0	0.0	0.0	1.0
k141_23499824__full-cat_2	2	False	False	3	2	0	False	0.0	0.0	3	0.0	0.0	0.0	0.0
k141_23503919__full-cat_2	2	False	False	11	4	1	False	0.0	0.0	10	1.0	0.0	0.0	0.0
k141_23521395__full-cat_1	1	False	False	26	0	0	False	0.0	0.0	20	3.0	3.0	0.0	0.0
k141_23539908__full-cat_2	2	False	False	7	3	0	False	0.0	0.0	7	0.0	0.0	0.0	0.0
k141_2355808__full-cat_2	2	False	False	8	1	0	False	0.0	0.0	7	1.0	0.0	0.0	0.0
k141_23558841__full-cat_2	2	False	False	3	0	0	False	0.0	0.0	3	0.0	0.0	0.0	0.0
k141_23562670__full-cat_2	2	False	False	9	4	0	False	0.0	0.0	4	3.0	1.0	0.0	1.0
k141_23570472__full-cat_2	2	False	False	6	0	0	False	0.0	0.0	6	0.0	0.0	0.0	0.0
k141_23579361__full-cat_2	2	False	False	26	0	0	False	0.0	0.0	26	0.0	0.0	0.0	0.0
k141_23605319__full-cat_1	1	False	False	8	2	0	False	0.0	0.0	4	4.0	0.0	0.0	0.0
k141_23612603__full-cat_2	2	False	False	9	1	0	False	0.0	0.0	9	0.0	0.0	0.0	0.0
k141_23620553__full-cat_1	1	False	False	10	0	0	False	0.0	0.0	5	3.0	0.0	1.0	1.0
k141_23622744__full-cat_2	2	False	False	9	3	0	False	0.1111111111111111	1.0	8	0.0	0.0	0.0	0.0
k141_23624553__full-cat_2	2	False	False	10	0	0	False	0.0	0.0	10	0.0	0.0	0.0	0.0
k141_23647400__full-cat_1	1	False	False	38	0	0	False	0.0	0.0	32	2.0	3.0	0.0	1.0
k141_23693511__full-cat_2	2	False	False	6	1	0	True	0.0	0.0	3	0.0	3.0	0.0	0.0
k141_23707774__full-cat_2	2	False	False	9	2	0	True	0.0	0.0	5	1.0	3.0	0.0	0.0
k141_23715227__full-cat_2	2	False	False	5	0	0	False	0.0	0.0	5	0.0	0.0	0.0	0.0
k141_23728192__full-cat_2	2	False	False	6	3	0	False	0.16666666666666666	1.0	5	0.0	0.0	0.0	0.0
k141_23782048__full-cat_2	2	False	False	2	1	0	False	0.0	0.0	2	0.0	0.0	0.0	0.0
k141_23794101__full-cat_2	2	False	False	5	2	0	False	0.0	0.0	5	0.0	0.0	0.0	0.0
k141_23825691__full-cat_2	2	False	False	10	2	0	False	0.0	0.0	10	0.0	0.0	0.0	0.0
k141_23847023__full-cat_2	2	False	False	17	4	0	False	0.0	0.0	15	1.0	0.0	0.0	1.0
k141_23894628__full-cat_1	1	False	False	9	1	0	False	0.0	0.0	9	0.0	0.0	0.0	0.0
k141_23903806__full-cat_1	1	False	False	14	1	0	False	0.0	0.0	13	1.0	0.0	0.0	0.0
k141_23923464__full-cat_2	2	False	False	6	0	0	False	0.0	0.0	6	0.0	0.0	0.0	0.0
k141_23944091__full-cat_2	2	False	False	3	1	0	False	0.0	0.0	1	2.0	0.0	0.0	0.0
k141_2415373__full-cat_2	2	False	False	11	0	0	False	0.09090909090909091	1.0	9	1.0	0.0	0.0	0.0
k141_2415671__full-cat_2	2	False	False	8	0	0	False	0.0	0.0	7	0.0	0.0	0.0	1.0
k141_2422457__full-cat_2	2	False	False	7	1	0	False	0.14285714285714285	1.0	5	1.0	0.0	0.0	0.0
k141_2427316__full-cat_2	2	False	False	10	5	0	False	0.0	0.0	9	1.0	0.0	0.0	0.0
k141_2435660__full-cat_2	2	False	False	10	0	0	False	0.0	0.0	10	0.0	0.0	0.0	0.0
k141_24835134__full-cat_2	2	False	False	5	0	0	False	0.0	0.0	5	0.0	0.0	0.0	0.0
k141_24870931__full-cat_2	2	False	False	5	1	0	False	0.0	0.0	4	1.0	0.0	0.0	0.0
k141_24877400__full-cat_2	2	False	False	7	0	0	False	0.0	0.0	7	0.0	0.0	0.0	0.0
k141_24878520__full-cat_2	2	False	False	9	6	0	False	0.0	0.0	8	0.0	1.0	0.0	0.0
k141_2488549__full-cat_1	1	False	False	7	2	0	False	0.0	0.0	6	0.0	1.0	0.0	0.0
k141_24912531__full-cat_2	2	False	False	5	0	1	False	0.0	0.0	3	0.0	2.0	0.0	0.0
k141_24917068__full-cat_2	2	False	False	4	0	0	False	0.25	1.0	3	0.0	0.0	0.0	0.0
k141_24940330__full-cat_2	2	False	False	5	2	0	True	0.0	0.0	4	0.0	1.0	0.0	0.0
k141_24963461__full-cat_2	2	False	False	12	3	0	False	0.0	0.0	11	1.0	0.0	0.0	0.0
k141_24965775__full-cat_2	2	False	False	5	2	0	False	0.2	1.0	4	0.0	0.0	0.0	0.0
k141_24977113__full-cat_2	2	False	False	6	2	0	True	0.0	0.0	3	0.0	3.0	0.0	0.0
k141_2500152__full-cat_2	2	False	False	3	0	1	False	0.0	0.0	3	0.0	0.0	0.0	0.0
k141_25003838__full-cat_2	2	False	False	7	0	0	False	0.0	0.0	5	2.0	0.0	0.0	0.0
k141_25021924__full-cat_1	1	False	False	16	2	0	False	0.0	0.0	12	3.0	0.0	1.0	0.0
k141_25053698__full-cat_1	1	False	False	5	0	0	False	0.0	0.0	4	0.0	1.0	0.0	0.0
k141_25055077__full-cat_1	1	False	False	8	0	0	False	0.0	0.0	8	0.0	0.0	0.0	0.0
k141_25060250__full-cat_2	2	False	False	7	1	0	False	0.14285714285714285	1.0	6	0.0	0.0	0.0	0.0
k141_25066743__full-cat_2	2	False	False	27	0	0	False	0.0	0.0	26	0.0	0.0	0.0	1.0
k141_25078850__full-cat_2	2	False	False	6	1	0	False	0.0	0.0	5	1.0	0.0	0.0	0.0
k141_25080221__full-cat_2	2	False	False	8	0	2	False	0.25	2.0	6	0.0	0.0	0.0	0.0
k141_25094240__full-cat_2	2	False	False	10	1	0	False	0.0	0.0	7	1.0	2.0	0.0	0.0
k141_25114460__full-cat_2	2	False	False	18	0	0	False	0.0	0.0	18	0.0	0.0	0.0	0.0
k141_25125888__full-cat_2	2	False	False	9	0	0	False	0.0	0.0	9	0.0	0.0	0.0	0.0
k141_25157034__full-cat_1	1	False	False	4	0	0	False	0.0	0.0	4	0.0	0.0	0.0	0.0
k141_25163420__full-cat_2	2	False	False	6	1	0	False	0.16666666666666666	1.0	5	0.0	0.0	0.0	0.0
k141_25163526__full-cat_2	2	False	False	14	0	0	False	0.0	0.0	12	0.0	0.0	1.0	1.0
k141_25180518__full-cat_2	2	False	False	9	1	0	False	0.1111111111111111	1.0	7	0.0	1.0	0.0	0.0
k141_25194141__full-cat_2	2	False	False	7	1	0	False	0.14285714285714285	1.0	6	0.0	0.0	0.0	0.0
k141_25224062__full-cat_2	2	False	False	4	2	0	False	0.0	0.0	4	0.0	0.0	0.0	0.0
k141_25232780__full-cat_2	2	False	False	4	2	0	False	0.0	0.0	4	0.0	0.0	0.0	0.0
k141_25235956__full-cat_2	2	False	False	4	1	0	False	0.0	0.0	4	0.0	0.0	0.0	0.0
k141_25250007__full-cat_1	1	False	False	4	0	0	False	0.0	0.0	1	3.0	0.0	0.0	0.0
k141_25252060__full-cat_2	2	False	False	8	0	0	False	0.0	0.0	6	1.0	1.0	0.0	0.0
k141_25262092__full-cat_2	2	False	False	8	0	0	False	0.0	0.0	7	0.0	0.0	0.0	1.0
k141_25268405__full-cat_2	2	False	False	15	1	0	False	0.06666666666666667	1.0	13	0.0	0.0	0.0	1.0
k141_25275193__full-cat_2	2	False	False	21	0	0	False	0.0	0.0	21	0.0	0.0	0.0	0.0
k141_25277012__full-cat_2	2	False	False	43	3	0	False	0.0	0.0	42	1.0	0.0	0.0	0.0
k141_25302018__full-cat_2	2	False	False	9	1	0	False	0.0	0.0	9	0.0	0.0	0.0	0.0
k141_2530630__full-cat_2	2	False	False	6	2	0	False	0.0	0.0	6	0.0	0.0	0.0	0.0
k141_25331663__full-cat_1	1	False	False	6	2	0	False	0.0	0.0	4	1.0	0.0	1.0	0.0
k141_2536609__full-cat_2	2	False	False	5	0	0	False	0.2	1.0	4	0.0	0.0	0.0	0.0
k141_25386019__full-cat_2	2	False	False	12	1	0	False	0.0	0.0	12	0.0	0.0	0.0	0.0
k141_2544309__full-cat_2	2	False	False	13	1	0	False	0.0	0.0	13	0.0	0.0	0.0	0.0
k141_2545330__full-cat_2	2	False	False	6	0	0	False	0.0	0.0	6	0.0	0.0	0.0	0.0
k141_25462878__full-cat_2	2	False	False	9	2	0	False	0.0	0.0	8	1.0	0.0	0.0	0.0
k141_25481277__full-cat_2	2	False	False	4	0	0	False	0.0	0.0	4	0.0	0.0	0.0	0.0
k141_25496500__full-cat_2	2	False	False	5	1	0	False	0.0	0.0	5	0.0	0.0	0.0	0.0
k141_25511893__full-cat_1	1	False	False	9	0	0	False	0.0	0.0	9	0.0	0.0	0.0	0.0
k141_25524004__full-cat_2	2	False	False	10	1	0	False	0.0	0.0	10	0.0	0.0	0.0	0.0
k141_2553308__full-cat_2	2	False	False	8	0	0	False	0.0	0.0	8	0.0	0.0	0.0	0.0
k141_2581580__full-cat_2	2	False	False	64	0	0	False	0.015625	1.0	58	5.0	0.0	0.0	0.0
k141_2584845__full-cat_2	2	False	False	8	1	0	False	0.0	0.0	7	1.0	0.0	0.0	0.0
k141_26313928__full-cat_1	1	False	False	18	0	0	False	0.0	0.0	15	2.0	0.0	0.0	1.0
k141_26372010__full-cat_2	2	False	False	9	2	0	False	0.0	0.0	9	0.0	0.0	0.0	0.0
k141_26378797__full-cat_2	2	False	False	5	0	0	False	0.0	0.0	5	0.0	0.0	0.0	0.0
k141_26389190__full-cat_2	2	False	False	7	0	0	False	0.0	0.0	5	1.0	1.0	0.0	0.0
k141_26402753__full-cat_2	2	False	False	5	0	0	False	0.0	0.0	5	0.0	0.0	0.0	0.0
k141_26433129__full-cat_2	2	False	False	8	0	0	False	0.0	0.0	4	0.0	0.0	4.0	0.0
k141_26440796__full-cat_1	1	False	False	14	1	1	False	0.07142857142857142	1.0	10	1.0	1.0	0.0	1.0
k141_26444443__full-cat_2	2	False	False	5	2	0	False	0.0	0.0	4	1.0	0.0	0.0	0.0
k141_26455648__full-cat_1	1	False	False	15	1	0	False	0.0	0.0	14	0.0	1.0	0.0	0.0
