user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
Bin_METABAT__115-contigs.cleaned	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__UBA985;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__UBA985;s__	ANI	classification based on placement in class-level tree	GCA_003527555.1, s__UBA985 sp003527555, 95.0, 77.71, 0.268; GCA_018676385.1, s__UBA985 sp018676385, 95.0, 77.65, 0.234; GCA_016811075.1, s__UBA985 sp016811075, 95.0, 77.41, 0.136; GCA_013041925.1, s__UBA985 sp013041925, 95.0, 77.14, 0.109; GCA_009937455.1, s__UBA985 sp009937455, 95.0, 77.0, 0.113; GCA_002292185.1, s__UBA985 sp002292185, 95.0, 76.82, 0.115; GCA_013391475.1, s__UBA985 sp013391475, 95.0, 76.77, 0.064; GCA_017857425.1, s__UBA985 sp017857425, 95.0, 76.6, 0.109	87.31	11	0.96212	N/A
Bin_METABAT__117-contigs.cleaned	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__MAG-120531;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__MAG-120531;s__	ANI	classification based on placement in class-level tree	GCA_000173115.1, s__MAG-120531 sp000173115, 95.0, 78.48, 0.392; GCA_905182295.1, s__MAG-120531 sp905182295, 95.0, 78.4, 0.394; GCA_018401115.1, s__MAG-120531 sp018401115, 95.0, 78.29, 0.379; GCA_018500065.1, s__MAG-120531 sp018500065, 95.0, 77.93, 0.377; GCA_013373635.1, s__MAG-120531 sp013373635, 95.0, 76.69, 0.075; GCA_002378585.1, s__MAG-120531 sp002378585, 95.0, 76.52, 0.057	94.18	11	0.94981	N/A
Bin_METABAT__121_1-contigs.cleaned	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__SZUA-38;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_003233095.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__SZUA-38;g__SZUA-38;s__SZUA-38 sp003233095	76.16	0.033	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__SZUA-38;g__;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	90.95	11	0.76582	N/A
Bin_METABAT__123_sub-contigs.cleaned	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Ponticoccus;s__	N/A	N/A	N/A	N/A	N/A	GCF_001482405.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Ponticoccus;s__Ponticoccus marisrubri	76.87	0.178	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Ponticoccus;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	74.25	11	0.97442	N/A
Bin_METABAT__127-contigs.cleaned	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	67.81	11	0.85368	N/A
Bin_METABAT__132_1-contigs.cleaned	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Granulosicoccales;f__Granulosicoccaceae;g__Granulosicoccus;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Granulosicoccales;f__Granulosicoccaceae;g__Granulosicoccus;s__	ANI	classification based on placement in class-level tree	GCA_002746645.1, s__Granulosicoccus sp002746645, 95.0, 76.54, 0.029; GCA_013002205.1, s__Granulosicoccus sp013002205, 95.0, 76.47, 0.053; GCF_002215215.1, s__Granulosicoccus antarcticus, 95.0, 76.02, 0.063	88.22	11	0.92789	N/A
Bin_METABAT__134-contigs.cleaned	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	71.03	11	0.87339	N/A
Bin_METABAT__135-contigs.cleaned	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Rickettsiaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Rickettsiaceae;g__;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	78.89	11	0.82757	N/A
Bin_METABAT__136-contigs.cleaned	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Oceanomicrobium;s__	N/A	N/A	N/A	N/A	N/A	GCF_009833495.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Oceanomicrobium;s__Oceanomicrobium pacificus	76.1	0.044	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Oceanomicrobium;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	64.75	11	0.89931	N/A
Bin_METABAT__14-contigs.cleaned	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Pikeienuella;s__	N/A	N/A	N/A	N/A	N/A	GCF_011044155.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Pikeienuella;s__Pikeienuella piscinae	76.49	0.137	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Pikeienuella;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	53.42	11	0.91159	N/A
Bin_METABAT__142_sub-contigs.cleaned	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__UBA6187;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_002787635.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__UBA6187;g__1-14-0-20-39-49;s__1-14-0-20-39-49 sp002787635	76.43	0.044	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__UBA6187;g__;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	59.89	11	0.83773	N/A
Bin_METABAT__143-contigs.cleaned	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Yoonia;s__	N/A	N/A	N/A	N/A	N/A	GCF_014199395.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Yoonia;s__Yoonia ponticola	77.21	0.205	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Yoonia;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_003201935.1, s__Yoonia sp003201935, 95.0, 77.45, 0.201; GCF_900156505.1, s__Yoonia rosea, 95.0, 77.43, 0.19; GCF_001419985.1, s__Yoonia sp001419985, 95.0, 77.32, 0.203; GCF_002158905.1, s__Yoonia vestfoldensis_B, 95.0, 77.31, 0.181; GCF_000382265.1, s__Yoonia vestfoldensis, 95.0, 77.16, 0.163; GCF_003003285.1, s__Yoonia maritima, 95.0, 77.1, 0.111; GCF_900143545.1, s__Yoonia sp900143545, 95.0, 77.1, 0.19; GCF_900114675.1, s__Yoonia litorea, 95.0, 77.06, 0.159; GCF_000152785.1, s__Yoonia vestfoldensis_A, 95.0, 77.02, 0.191; GCA_018402175.1, s__Yoonia sp018402175, 95.0, 77.01, 0.206; GCF_002797915.1, s__Yoonia maricola, 95.0, 77.01, 0.177; GCF_000967725.1, s__Yoonia sp000967725, 95.0, 76.98, 0.104; GCA_017390475.1, s__Yoonia sp017390475, 95.0, 76.9, 0.169; GCF_003058085.1, s__Yoonia sediminilitoris, 95.0, 76.86, 0.166; GCF_000169435.1, s__Yoonia sp000169435, 95.0, 76.84, 0.19; GCF_002933395.1, s__Yoonia maritima_A, 95.0, 76.8, 0.112; GCA_003551805.1, s__Yoonia sp003551805, 95.0, 76.79, 0.191; GCF_900115105.1, s__Yoonia tamlensis, 95.0, 76.78, 0.17; GCA_017854565.1, s__Yoonia sp017854565, 95.0, 76.78, 0.162; GCA_017854415.1, s__Yoonia sp017854415, 95.0, 76.78, 0.15; GCA_014859355.1, s__Yoonia sp014859355, 95.0, 76.71, 0.187; GCF_003318235.1, s__Yoonia sp003318235, 95.0, 76.64, 0.109; GCA_905182645.1, s__Yoonia sp905182645, 95.0, 76.58, 0.127; GCA_002378665.1, s__Yoonia sp002378665, 95.0, 76.46, 0.149	67.99	11	0.97943	N/A
Bin_METABAT__145_1-contigs.cleaned	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__Aureliella;s__	N/A	N/A	N/A	N/A	N/A	GCA_002862265.1	95.0	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__Aureliella;s__Aureliella sp002862265	75.8	0.032	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__Aureliella;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_003695565.1, s__Aureliella sp003695565, 95.0, 76.34, 0.015; GCF_007752135.1, s__Aureliella helgolandensis, 95.0, 76.01, 0.032; GCA_005798335.1, s__Aureliella sp005798335, 95.0, 75.02, 0.009	65.01	11	0.93471	N/A
Bin_METABAT__149-contigs.cleaned	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Midichloriaceae;g__Aquarickettsia;s__	N/A	N/A	N/A	N/A	N/A	GCA_905479795.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Midichloriaceae;g__Aquarickettsia;s__Aquarickettsia sp905479795	90.84	0.783	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Midichloriaceae;g__Aquarickettsia;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_903887235.1, s__Aquarickettsia sp903887235, 95.0, 81.83, 0.704; GCF_003953955.1, s__Aquarickettsia rohweri, 95.0, 78.19, 0.409	81.67	11	0.98705	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
Bin_METABAT__151_1-contigs.cleaned	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Litoreibacter;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Litoreibacter;s__	ANI	classification based on placement in class-level tree	GCF_900129235.1, s__Litoreibacter ascidiaceicola, 95.0, 77.6, 0.225; GCF_003054285.1, s__Litoreibacter ponti, 95.0, 77.52, 0.306; GCF_000442275.2, s__Litoreibacter arenae, 95.0, 77.51, 0.278; GCF_004365635.1, s__Litoreibacter halocynthiae, 95.0, 77.26, 0.246; GCF_900107015.1, s__Litoreibacter albidus, 95.0, 77.23, 0.211; GCF_003663885.1, s__Litoreibacter meonggei, 95.0, 77.16, 0.218; GCF_900111945.1, s__Litoreibacter janthinus, 95.0, 77.01, 0.215; GCA_013042765.1, s__Litoreibacter sp013042765, 95.0, 76.68, 0.175; GCF_009811795.1, s__Litoreibacter roseus, 95.0, 76.47, 0.135	61.8	11	0.96146	N/A
Bin_METABAT__157_1-contigs.cleaned	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__Mariniblastus;s__	N/A	N/A	N/A	N/A	N/A	GCF_008087665.1	95.0	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__Mariniblastus;s__Mariniblastus fucicola	78.3	0.326	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__Mariniblastus;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_011523945.1, s__Mariniblastus sp011523945, 95.0, 76.02, 0.016; GCA_011087765.1, s__Mariniblastus sp011087765, 95.0, 75.93, 0.024; GCA_014237975.1, s__Mariniblastus sp014237975, 95.0, 75.65, 0.009	72.12	11	0.98594	N/A
Bin_METABAT__160-contigs.cleaned	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__Crateriforma;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__Crateriforma;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	71.27	11	0.95053	N/A
Bin_METABAT__161-contigs.cleaned	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__SZUA-146;f__SZUA-146;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__SZUA-146;f__SZUA-146;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	93.9	11	0.83874	N/A
Bin_METABAT__165_1-contigs.cleaned	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Promineofilales;f__Promineofilaceae;g__WTJY01;s__	N/A	N/A	N/A	N/A	N/A	GCA_011524645.1	95.0	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Promineofilales;f__Promineofilaceae;g__WTJY01;s__WTJY01 sp011524645	75.49	0.034	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Promineofilales;f__Promineofilaceae;g__WTJY01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	89.85	11	0.90076	N/A
Bin_METABAT__17-contigs.cleaned	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__Aureliella;s__	N/A	N/A	N/A	N/A	N/A	GCF_007752135.1	95.0	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__Aureliella;s__Aureliella helgolandensis	76.13	0.039	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__Aureliella;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_002862265.1, s__Aureliella sp002862265, 95.0, 75.76, 0.033; GCA_003695565.1, s__Aureliella sp003695565, 95.0, 75.16, 0.023; GCA_005798335.1, s__Aureliella sp005798335, 95.0, 74.66, 0.012	71.66	11	0.94232	N/A
Bin_METABAT__171-contigs.cleaned	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Maricaulaceae;g__Litorimonas;s__	N/A	N/A	N/A	N/A	N/A	GCF_003634015.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Maricaulaceae;g__Litorimonas;s__Litorimonas taeanensis	77.97	0.194	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Maricaulaceae;g__Litorimonas;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_014652455.1, s__Litorimonas cladophorae, 95.0, 76.93, 0.093; GCF_014652695.1, s__Litorimonas arctica, 95.0, 76.57, 0.074	71.74	11	0.97126	N/A
Bin_METABAT__175-contigs.cleaned	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__Lewinella_A;s__	N/A	N/A	N/A	N/A	N/A	GCF_000373105.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__Lewinella_A;s__Lewinella_A persica	80.94	0.634	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__Lewinella_A;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_008014675.1, s__Lewinella_A aurantiaca, 95.0, 77.25, 0.194; GCF_900110645.1, s__Lewinella_A agarilytica, 95.0, 76.88, 0.192; GCF_001625015.1, s__Lewinella_A sp001625015, 95.0, 76.6, 0.093; GCF_014349155.1, s__Lewinella_A lacunae, 95.0, 76.56, 0.14; GCF_004375085.3, s__Lewinella_A sp004375085, 95.0, 76.53, 0.102; GCF_003390935.1, s__Lewinella_A sp003390935, 95.0, 76.52, 0.053; GCF_003390915.1, s__Lewinella_A sp003390915, 95.0, 76.45, 0.075; GCF_014197245.1, s__Lewinella_A aquimaris, 95.0, 76.43, 0.087; GCF_011927835.1, s__Lewinella_A antarctica, 95.0, 76.4, 0.076; GCA_002591745.1, s__Lewinella_A sp002591745, 95.0, 76.27, 0.036; GCF_004803465.1, s__Lewinella_A litorea, 95.0, 76.25, 0.072; GCF_002631205.1, s__Lewinella_A marina, 95.0, 76.23, 0.084; GCF_002934605.1, s__Lewinella_A xylanilytica, 95.0, 76.02, 0.063	85.78	11	0.98977	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
Bin_METABAT__181_1-contigs.cleaned	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Pikeienuella;s__	N/A	N/A	N/A	N/A	N/A	GCF_011044155.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Pikeienuella;s__Pikeienuella piscinae	76.37	0.108	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Pikeienuella;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	83.76	11	0.91823	N/A
Bin_METABAT__183_1-contigs.cleaned	d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__SG8-38;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__SG8-38;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	87.31	11	0.86606	N/A
Bin_METABAT__187-contigs.cleaned	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Marinicellaceae;g__NORP309;s__	N/A	N/A	N/A	N/A	N/A	GCA_016763695.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Marinicellaceae;g__NORP309;s__NORP309 sp016763695	77.06	0.115	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Marinicellaceae;g__NORP309;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_016744455.1, s__NORP309 sp016744455, 95.0, 76.81, 0.132	90.65	11	0.95243	N/A
Bin_METABAT__189_1-contigs.cleaned	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__Mariniblastus;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__Mariniblastus;s__	ANI	classification based on placement in class-level tree	GCA_011523945.1, s__Mariniblastus sp011523945, 95.0, 76.39, 0.05; GCA_011087765.1, s__Mariniblastus sp011087765, 95.0, 76.38, 0.063; GCF_008087665.1, s__Mariniblastus fucicola, 95.0, 76.3, 0.043; GCA_014237975.1, s__Mariniblastus sp014237975, 95.0, 75.66, 0.019	82.7	11	0.94857	N/A
Bin_METABAT__18_sub-contigs.cleaned	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__WTJX01;g__WTJX01;s__	N/A	N/A	N/A	N/A	N/A	GCA_011524675.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__WTJX01;g__WTJX01;s__WTJX01 sp011524675	76.84	0.056	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__WTJX01;g__WTJX01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	84.99	11	0.85138	N/A
Bin_METABAT__192-contigs.cleaned	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__UA16;g__ASP10-05a;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__UA16;g__ASP10-05a;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	58.26	11	0.93428	N/A
Bin_METABAT__193_1-contigs.cleaned	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__SZUA-146;f__SZUA-146;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__SZUA-146;f__SZUA-146;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	84.73	11	0.83917	N/A
Bin_METABAT__196-contigs.cleaned	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Maribacter;s__	N/A	N/A	N/A	N/A	N/A	GCF_000621125.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Maribacter;s__Maribacter antarcticus	78.74	0.419	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Maribacter;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_011050675.1, s__Maribacter sp011050675, 95.0, 77.61, 0.261; GCF_003970695.1, s__Maribacter sp002742365, 95.0, 77.58, 0.254; GCF_900112245.1, s__Maribacter stanieri, 95.0, 77.52, 0.277; GCF_003075045.1, s__Maribacter litoralis, 95.0, 77.5, 0.225; GCF_004364165.1, s__Maribacter spongiicola, 95.0, 77.49, 0.238; GCF_900155985.1, s__Maribacter ulvicola, 95.0, 77.48, 0.229; GCF_900142175.1, s__Maribacter aquivivus, 95.0, 77.48, 0.274; GCF_000744105.1, s__Maribacter forsetii, 95.0, 77.48, 0.257; GCF_004364175.1, s__Maribacter caenipelagi, 95.0, 77.47, 0.24; GCF_900167935.1, s__Maribacter arcticus, 95.0, 77.45, 0.248; GCF_018100785.1, s__Maribacter sp018100785, 95.0, 77.43, 0.199; GCF_900188415.1, s__Maribacter sedimenticola, 95.0, 77.4, 0.204; GCF_900109345.1, s__Maribacter orientalis, 95.0, 77.38, 0.25; GCF_005771495.1, s__Maribacter sp005771495, 95.0, 77.35, 0.222; GCF_001020565.1, s__Maribacter thermophilus, 95.0, 77.34, 0.189; GCF_001447995.1, s__Maribacter dokdonensis, 95.0, 77.33, 0.231; GCF_001913155.1, s__Maribacter hydrothermalis, 95.0, 77.33, 0.25; GCF_008386635.1, s__Maribacter flavus, 95.0, 77.25, 0.121; GCA_905479535.1, s__Maribacter sp905479535, 95.0, 77.17, 0.124; GCF_003933245.1, s__Maribacter algicola, 95.0, 77.16, 0.131; GCF_002269385.1, s__Maribacter cobaltidurans, 95.0, 77.07, 0.15; GCF_002742265.1, s__Maribacter sp002742265, 95.0, 76.98, 0.123	69.64	11	0.98123	N/A
Bin_METABAT__1_1-contigs.cleaned	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Sedimenticolaceae;g__41T-STBD-0c-01a;s__	N/A	N/A	N/A	N/A	N/A	GCA_002009425.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Sedimenticolaceae;g__41T-STBD-0c-01a;s__41T-STBD-0c-01a sp002009425	78.5	0.287	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Sedimenticolaceae;g__41T-STBD-0c-01a;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	71.76	11	0.93564	N/A
Bin_METABAT__2-contigs.cleaned	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__JABDJX01;s__	N/A	N/A	N/A	N/A	N/A	GCA_013003245.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__JABDJX01;s__JABDJX01 sp013003245	78.7	0.436	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__JABDJX01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	49.32	11	0.98552	N/A
Bin_METABAT__20-contigs.cleaned	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;g__JABDQA01;s__JABDQA01 sp905479735	GCA_905479735.1	95.0	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;g__JABDQA01;s__JABDQA01 sp905479735	95.82	0.726	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
Bin_METABAT__201-contigs.cleaned	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Marinicellaceae;g__Marinicella;s__	N/A	N/A	N/A	N/A	N/A	GCF_002591915.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Marinicellaceae;g__Marinicella;s__Marinicella litoralis	77.73	0.271	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Marinicellaceae;g__Marinicella;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_002000055.1, s__Marinicella sediminis, 95.0, 77.21, 0.176; GCA_008501575.1, s__Marinicella sp008501575, 95.0, 76.88, 0.065; GCF_009671245.1, s__Marinicella rhabdoformis, 95.0, 76.82, 0.15; GCF_014636635.1, s__Marinicella pacifica, 95.0, 76.57, 0.061	77.88	11	0.97137	N/A
